FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,13.69,3
00:00:00,00:05:00,29.22,3
00:05:00,00:10:00,27.5,5
00:10:00,00:15:00,20.12,7
00:15:00,00:20:00,27.95,5
00:20:00,00:25:00,14.22,1
00:25:00,00:30:00,2.28,1
00:30:00,00:35:00,31.82,2
00:35:00,00:40:00,29.33,4
00:40:00,00:45:00,17.28,6
00:45:00,00:50:00,30.45,3
00:50:00,00:55:00,10.35,2
00:55:00,01:00:00,24.35,2
01:00:00,01:05:00,20.14,1
01:05:00,01:10:00,37.6,3
01:10:00,01:15:00,26.17,7
01:15:00,01:20:00,29.86,3
01:20:00,01:25:00,24.72,7
01:25:00,01:30:00,5.83,1
01:30:00,01:35:00,18.94,3
01:35:00,01:40:00,23.36,4
01:40:00,01:45:00,22.8,4
01:45:00,01:50:00,23.87,4
01:50:00,01:55:00,12.23,4
01:55:00,02:00:00,34.36,2
02:00:00,02:05:00,25.81,8
02:05:00,02:10:00,27.47,2
02:20:00,02:25:00,20.39,1
02:25:00,02:30:00,22.55,3
02:30:00,02:35:00,18.63,2
02:40:00,02:45:00,19.52,3
02:45:00,02:50:00,28.2,1
02:50:00,02:55:00,22.13,3
02:55:00,03:00:00,0.43,1
03:05:00,03:10:00,1.14,1
03:10:00,03:15:00,37.11,2
03:15:00,03:20:00,38.45,1
03:20:00,03:25:00,31.11,2
03:25:00,03:30:00,31.92,1
03:30:00,03:35:00,22.86,1
03:35:00,03:40:00,32.5,4
03:40:00,03:45:00,0.57,3
03:45:00,03:50:00,16.33,2
03:50:00,03:55:00,41.27,1
03:55:00,04:00:00,15.81,1
04:00:00,04:05:00,27.47,7
04:05:00,04:10:00,22.2,4
04:10:00,04:15:00,14,4
04:15:00,04:20:00,22.94,3
04:35:00,04:40:00,17.36,2
04:40:00,04:45:00,19.12,3
04:45:00,04:50:00,25.53,3
04:50:00,04:55:00,18.99,3
04:55:00,05:00:00,25.25,1
05:00:00,05:05:00,28.85,2
05:05:00,05:10:00,19.22,4
05:10:00,05:15:00,22.31,4
05:15:00,05:20:00,13.29,5
05:20:00,05:25:00,18.14,2
05:25:00,05:30:00,11.13,3
05:30:00,05:35:00,26.71,2
05:35:00,05:40:00,9.47,6
05:40:00,05:45:00,5.51,2
05:45:00,05:50:00,0.25,1
05:50:00,05:55:00,13.88,4
05:55:00,06:00:00,13.94,4
06:00:00,06:05:00,26.03,1
06:05:00,06:10:00,21.78,5
06:10:00,06:15:00,18.21,6
06:15:00,06:20:00,0.64,1
06:20:00,06:25:00,12.7,4
06:25:00,06:30:00,16.59,4
06:30:00,06:35:00,17.92,4
06:35:00,06:40:00,12.77,10
06:40:00,06:45:00,23.21,7
06:45:00,06:50:00,22.2,3
06:50:00,06:55:00,18.51,10
06:55:00,07:00:00,40.08,2
07:00:00,07:05:00,16.92,6
07:05:00,07:10:00,13.57,7
07:10:00,07:15:00,18.62,5
07:15:00,07:20:00,22.23,8
07:20:00,07:25:00,12.51,3
07:25:00,07:30:00,16.54,5
07:30:00,07:35:00,5.34,4
07:35:00,07:40:00,13.22,5
07:40:00,07:45:00,13.5,6
07:45:00,07:50:00,16.45,7
07:50:00,07:55:00,15.82,3
07:55:00,08:00:00,11.61,7
08:00:00,08:05:00,10.05,8
08:05:00,08:10:00,19.63,6
08:10:00,08:15:00,12.29,8
08:15:00,08:20:00,12.49,6
08:20:00,08:25:00,17.63,7
08:25:00,08:30:00,5.43,2
08:30:00,08:35:00,10.48,6
08:35:00,08:40:00,12.38,9
08:40:00,08:45:00,23.55,6
08:45:00,08:50:00,17.67,6
08:50:00,08:55:00,10.2,5
08:55:00,09:00:00,16.66,8
09:00:00,09:05:00,11.95,10
09:05:00,09:10:00,11.83,4
09:10:00,09:15:00,10.47,8
09:15:00,09:20:00,15.11,10
