FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,18.31,3
00:05:00,00:10:00,25.54,2
00:10:00,00:15:00,32.54,1
00:15:00,00:20:00,28.72,3
00:20:00,00:25:00,20.92,2
00:25:00,00:30:00,22.96,2
00:40:00,00:45:00,17.06,2
00:45:00,00:50:00,25.71,3
00:50:00,00:55:00,33.26,2
00:55:00,01:00:00,14.97,1
01:00:00,01:05:00,22.9,2
01:05:00,01:10:00,36.09,2
01:10:00,01:15:00,20.23,3
01:15:00,01:20:00,27.93,5
01:20:00,01:25:00,17.76,6
01:25:00,01:30:00,44.53,1
01:30:00,01:35:00,9.96,3
01:35:00,01:40:00,23.39,2
01:40:00,01:45:00,28.2,1
01:45:00,01:50:00,26.37,2
01:50:00,01:55:00,8.04,3
01:55:00,02:00:00,24.25,3
02:00:00,02:05:00,13.22,1
02:05:00,02:10:00,24.72,2
02:15:00,02:20:00,3.32,4
02:20:00,02:25:00,29.79,2
02:25:00,02:30:00,17.46,2
02:30:00,02:35:00,31.63,2
02:35:00,02:40:00,35.79,2
02:45:00,02:50:00,4.78,4
02:50:00,02:55:00,11.5,5
02:55:00,03:00:00,37.6,1
03:05:00,03:10:00,26.73,2
03:10:00,03:15:00,22.08,4
03:15:00,03:20:00,13.69,6
03:20:00,03:25:00,11.93,3
03:25:00,03:30:00,32.59,2
03:30:00,03:35:00,12.75,3
03:35:00,03:40:00,13.22,1
03:45:00,03:50:00,14.27,3
03:50:00,03:55:00,0.55,1
03:55:00,04:00:00,25.23,5
04:00:00,04:05:00,22.57,2
04:05:00,04:10:00,3.5,2
04:10:00,04:15:00,8.09,3
04:15:00,04:20:00,17.44,1
04:20:00,04:25:00,9.97,4
04:25:00,04:30:00,25.3,2
04:30:00,04:35:00,24.88,4
04:35:00,04:40:00,30.81,3
04:40:00,04:45:00,7.18,6
04:45:00,04:50:00,12.4,4
04:50:00,04:55:00,16.84,5
04:55:00,05:00:00,33.84,1
05:00:00,05:05:00,2.94,1
05:05:00,05:10:00,28.61,6
05:10:00,05:15:00,17.79,4
05:15:00,05:20:00,31.16,2
05:20:00,05:25:00,16.49,3
05:25:00,05:30:00,33.84,1
05:30:00,05:35:00,27.72,5
05:35:00,05:40:00,12.62,9
05:40:00,05:45:00,18.92,12
05:45:00,05:50:00,19.91,7
05:50:00,05:55:00,27.61,7
05:55:00,06:00:00,15.8,6
06:00:00,06:05:00,12.95,10
06:05:00,06:10:00,19.3,12
06:10:00,06:15:00,13.11,7
06:15:00,06:20:00,16.12,11
06:20:00,06:25:00,16.96,6
06:25:00,06:30:00,10.51,8
06:30:00,06:35:00,8.96,4
06:35:00,06:40:00,13.37,8
06:40:00,06:45:00,20,8
06:45:00,06:50:00,16.05,4
06:50:00,06:55:00,15.86,5
06:55:00,07:00:00,9.69,6
07:00:00,07:05:00,7.79,8
07:05:00,07:10:00,19.25,6
07:10:00,07:15:00,5.5,11
07:15:00,07:20:00,14.24,7
07:20:00,07:25:00,8.08,10
07:25:00,07:30:00,8.72,13
07:30:00,07:35:00,9.81,9
07:35:00,07:40:00,15.89,5
07:40:00,07:45:00,17.28,3
07:45:00,07:50:00,22.95,5
07:50:00,07:55:00,13.67,9
07:55:00,08:00:00,8.58,7
08:00:00,08:05:00,18.8,5
08:05:00,08:10:00,19.15,3
08:10:00,08:15:00,3.4,5
08:15:00,08:20:00,8.4,9
08:20:00,08:25:00,3.25,6
08:25:00,08:30:00,9.34,7
08:30:00,08:35:00,9.16,7
08:35:00,08:40:00,8.91,8
08:40:00,08:45:00,5.36,9
08:45:00,08:50:00,7.67,8
08:50:00,08:55:00,6.97,11
08:55:00,09:00:00,3.46,2
09:00:00,09:05:00,4.26,9
09:05:00,09:10:00,4.84,5
09:10:00,09:15:00,5.32,9
09:15:00,09:20:00,4.94,4
09:20:00,09:25:00,0.66,1
09:25:00,09:30:00,4,9
09:30:00,09:35:00,4.62,4
09:35:00,09:40:00,15.28,5
09:40:00,09:45:00,14.65,4
09:45:00,09:50:00,6.55,5
09:50:00,09:55:00,8.91,7
09:55:00,10:00:00,8.21,15
10:00:00,10:05:00,13.44,8
10:05:00,10:10:00,8.95,7
10:10:00,10:15:00,15.48,5
10:15:00,10:20:00,10.5,4
10:20:00,10:25:00,11.59,7
10:25:00,10:30:00,11.42,6
10:30:00,10:35:00,13.29,14
10:35:00,10:40:00,8.19,5
10:40:00,10:45:00,8.63,4
10:45:00,10:50:00,17.56,7
10:50:00,10:55:00,7.35,12
10:55:00,11:00:00,6.33,7
11:00:00,11:05:00,13.86,5
11:05:00,11:10:00,22.56,1
11:10:00,11:15:00,8.76,10
11:15:00,11:20:00,11.73,6
11:20:00,11:25:00,10.18,11
11:25:00,11:30:00,8.27,8
11:30:00,11:35:00,3.78,1
11:35:00,11:40:00,6.92,3
11:40:00,11:45:00,2.69,4
11:45:00,11:50:00,8,9
11:50:00,11:55:00,8.04,12
11:55:00,12:00:00,2.13,7
12:00:00,12:05:00,15.95,6
12:05:00,12:10:00,9.34,5
12:10:00,12:15:00,4.18,6
12:15:00,12:20:00,0.85,2
12:20:00,12:25:00,0.14,1
12:25:00,12:30:00,5.44,7
12:30:00,12:35:00,10.77,4
12:35:00,12:40:00,2.21,1
12:40:00,12:45:00,10.49,3
12:45:00,12:50:00,3.43,4
12:50:00,12:55:00,3.77,8
12:55:00,13:00:00,6.46,6
13:00:00,13:05:00,3.26,4
13:05:00,13:10:00,2.21,3
13:10:00,13:15:00,9.78,10
13:15:00,13:20:00,20.89,3
13:20:00,13:25:00,18.28,4
13:25:00,13:30:00,11.35,5
13:30:00,13:35:00,4.28,2
13:35:00,13:40:00,8.19,4
13:40:00,13:45:00,3.59,8
13:45:00,13:50:00,5.04,3
13:50:00,13:55:00,2.03,8
13:55:00,14:00:00,1.87,4
14:00:00,14:05:00,1.66,5
14:05:00,14:10:00,3.93,5
14:10:00,14:15:00,4.4,13
14:15:00,14:20:00,1.77,4
14:20:00,14:25:00,2.83,7
14:25:00,14:30:00,8.31,4
14:30:00,14:35:00,0.15,2
14:35:00,14:40:00,8.19,3
14:40:00,14:45:00,3.12,1
14:45:00,14:50:00,9.32,3
14:50:00,14:55:00,6.35,6
14:55:00,15:00:00,3.41,9
15:00:00,15:05:00,8.51,3
15:05:00,15:10:00,2.24,6
15:10:00,15:15:00,3.93,2
15:15:00,15:20:00,2.14,9
15:20:00,15:25:00,2.3,2
15:25:00,15:30:00,8.36,6
15:30:00,15:35:00,4.45,7
15:35:00,15:40:00,1.08,1
15:40:00,15:45:00,4.56,6
15:45:00,15:50:00,5.75,4
15:50:00,15:55:00,3.21,8
15:55:00,16:00:00,2.23,10
16:00:00,16:05:00,4.23,8
16:05:00,16:10:00,7.27,3
16:10:00,16:15:00,0.56,4
16:15:00,16:20:00,7.4,4
16:20:00,16:25:00,3.64,4
16:25:00,16:30:00,6.34,10
16:30:00,16:35:00,1.08,4
16:35:00,16:40:00,0.07,3
16:40:00,16:45:00,2.78,8
16:45:00,16:50:00,2.52,2
16:50:00,16:55:00,9.27,4
16:55:00,17:00:00,4.27,6
17:00:00,17:05:00,5.36,5
17:05:00,17:10:00,6.93,6
17:10:00,17:15:00,2.92,5
17:15:00,17:20:00,6.45,3
17:20:00,17:25:00,1.29,1
17:25:00,17:30:00,3.25,5
17:30:00,17:35:00,0.44,10
17:35:00,17:40:00,8.71,4
17:40:00,17:45:00,7.27,6
17:45:00,17:50:00,6.14,5
