FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,27.38,3
00:00:00,00:05:00,25.69,2
00:10:00,00:15:00,15.67,1
00:15:00,00:20:00,13.82,2
00:20:00,00:25:00,27.77,2
00:25:00,00:30:00,20.34,4
00:30:00,00:35:00,36.26,2
00:35:00,00:40:00,42.3,1
00:45:00,00:50:00,18.44,2
00:50:00,00:55:00,29.68,1
00:55:00,01:00:00,19.9,3
01:00:00,01:05:00,31.82,3
01:05:00,01:10:00,10.71,1
01:10:00,01:15:00,22.59,5
01:20:00,01:25:00,14.92,4
01:25:00,01:30:00,14.94,2
01:30:00,01:35:00,28.5,2
01:35:00,01:40:00,32.54,1
01:40:00,01:45:00,20.81,3
01:45:00,01:50:00,0.31,1
01:50:00,01:55:00,19.46,2
01:55:00,02:00:00,29.82,2
02:00:00,02:05:00,33.5,2
02:05:00,02:10:00,30.76,1
02:10:00,02:15:00,22.78,2
02:20:00,02:25:00,4.21,1
02:25:00,02:30:00,2.01,1
02:35:00,02:40:00,33.84,1
02:40:00,02:45:00,27.5,3
02:45:00,02:50:00,28.98,2
02:50:00,02:55:00,0.24,1
02:55:00,03:00:00,21.15,1
03:05:00,03:10:00,9.73,2
03:10:00,03:15:00,23.26,3
03:15:00,03:20:00,38.08,3
03:25:00,03:30:00,27.94,3
03:30:00,03:35:00,37.04,4
03:35:00,03:40:00,23.42,4
03:45:00,03:50:00,36,1
03:50:00,03:55:00,3.15,1
03:55:00,04:00:00,4.21,1
04:05:00,04:10:00,21.98,5
04:10:00,04:15:00,15.74,4
04:15:00,04:20:00,14.77,2
04:25:00,04:30:00,16.11,1
04:30:00,04:35:00,27.3,2
04:35:00,04:40:00,16.93,5
04:40:00,04:45:00,30.76,1
04:45:00,04:50:00,24.87,6
04:50:00,04:55:00,2.48,1
04:55:00,05:00:00,2.43,1
05:00:00,05:05:00,34.33,2
05:05:00,05:10:00,22.24,2
05:10:00,05:15:00,25.16,2
05:15:00,05:20:00,52.88,1
05:20:00,05:25:00,15.05,2
05:25:00,05:30:00,25.92,3
05:30:00,05:35:00,22.32,2
05:35:00,05:40:00,18.38,6
05:40:00,05:45:00,31.38,2
05:45:00,05:50:00,12.07,4
05:50:00,05:55:00,24.17,1
05:55:00,06:00:00,25.25,1
06:00:00,06:05:00,13.12,1
06:05:00,06:10:00,17.09,1
06:10:00,06:15:00,14.48,3
06:15:00,06:20:00,22.05,4
06:20:00,06:25:00,35.72,2
06:25:00,06:30:00,21.01,5
06:30:00,06:35:00,23.15,3
06:35:00,06:40:00,29.17,1
06:40:00,06:45:00,20.56,9
06:45:00,06:50:00,19.57,2
06:50:00,06:55:00,24.04,2
06:55:00,07:00:00,30.23,5
07:05:00,07:10:00,35.87,5
07:10:00,07:15:00,21.83,5
07:15:00,07:20:00,5.99,4
07:20:00,07:25:00,25.9,4
07:25:00,07:30:00,33.18,1
07:30:00,07:35:00,28.36,4
07:35:00,07:40:00,7.2,4
07:40:00,07:45:00,32.29,5
07:45:00,07:50:00,16.43,1
07:50:00,07:55:00,17.71,4
07:55:00,08:00:00,16.21,11
08:00:00,08:05:00,3.84,3
08:05:00,08:10:00,10.95,5
08:10:00,08:15:00,19.75,3
08:15:00,08:20:00,14.77,5
08:20:00,08:25:00,27.16,4
08:25:00,08:30:00,25.98,6
08:30:00,08:35:00,18.7,8
08:35:00,08:40:00,15.65,4
08:40:00,08:45:00,12.94,5
08:45:00,08:50:00,10.97,8
08:50:00,08:55:00,19.57,4
08:55:00,09:00:00,17.93,9
09:00:00,09:05:00,22.66,7
09:10:00,09:15:00,21.22,8
09:15:00,09:20:00,17.74,6
09:20:00,09:25:00,9.56,3
09:25:00,09:30:00,13.51,5
09:30:00,09:35:00,6.57,4
09:35:00,09:40:00,15.78,7
09:40:00,09:45:00,24.27,3
09:45:00,09:50:00,12.13,5
09:50:00,09:55:00,16.81,6
09:55:00,10:00:00,18.32,4
10:00:00,10:05:00,16.45,8
10:05:00,10:10:00,11.1,7
10:10:00,10:15:00,17.43,4
10:15:00,10:20:00,13.09,4
10:20:00,10:25:00,11.11,4
10:25:00,10:30:00,21.93,7
10:30:00,10:35:00,12.22,8
10:35:00,10:40:00,8.37,6
10:40:00,10:45:00,10.52,10
10:45:00,10:50:00,16.57,2
10:50:00,10:55:00,15.94,3
10:55:00,11:00:00,2.51,3
11:00:00,11:05:00,6.48,1
11:05:00,11:10:00,11.76,10
11:10:00,11:15:00,10.42,4
11:15:00,11:20:00,11.18,3
11:20:00,11:25:00,7.08,7
11:25:00,11:30:00,5.83,5
11:30:00,11:35:00,23.87,4
11:35:00,11:40:00,9.36,5
11:40:00,11:45:00,3.53,1
11:45:00,11:50:00,8.7,9
11:50:00,11:55:00,2.6,4
11:55:00,12:00:00,5.05,6
12:00:00,12:05:00,13.2,3
12:05:00,12:10:00,5.32,3
12:10:00,12:15:00,6.79,5
12:15:00,12:20:00,16.94,3
12:20:00,12:25:00,3.99,9
12:25:00,12:30:00,14.02,5
12:30:00,12:35:00,5.79,3
12:35:00,12:40:00,11.64,11
12:40:00,12:45:00,7.19,5
12:45:00,12:50:00,7.38,11
12:50:00,12:55:00,4.54,2
12:55:00,13:00:00,5.38,5
13:00:00,13:05:00,6.17,9
13:05:00,13:10:00,3.02,3
13:10:00,13:15:00,4.19,3
13:15:00,13:20:00,13.35,7
13:20:00,13:25:00,6.02,4
13:25:00,13:30:00,6.9,4
13:30:00,13:35:00,6.47,3
13:35:00,13:40:00,0.27,1
13:40:00,13:45:00,7.82,4
13:45:00,13:50:00,4.75,5
13:50:00,13:55:00,3.98,6
13:55:00,14:00:00,10.85,8
14:00:00,14:05:00,7.22,2
14:05:00,14:10:00,13.16,5
14:10:00,14:15:00,12.95,6
14:15:00,14:20:00,5.4,11
14:20:00,14:25:00,3.46,6
14:25:00,14:30:00,11.74,3
14:30:00,14:35:00,11.96,9
14:35:00,14:40:00,9.11,6
14:40:00,14:45:00,8.72,7
14:45:00,14:50:00,8.05,7
14:50:00,14:55:00,11.24,5
14:55:00,15:00:00,7.38,7
15:00:00,15:05:00,12.18,6
15:05:00,15:10:00,10.11,9
15:10:00,15:15:00,5.43,6
15:15:00,15:20:00,9.18,7
15:20:00,15:25:00,10.32,9
15:25:00,15:30:00,5.69,3
15:30:00,15:35:00,7.13,6
15:35:00,15:40:00,10.56,6
15:40:00,15:45:00,8.06,9
15:45:00,15:50:00,9.43,10
15:50:00,15:55:00,10.17,7
15:55:00,16:00:00,4.45,3
16:00:00,16:05:00,17.4,10
16:05:00,16:10:00,8.56,11
16:10:00,16:15:00,9.15,3
16:15:00,16:20:00,1.77,7
16:20:00,16:25:00,7.79,6
16:25:00,16:30:00,10.86,13
16:30:00,16:35:00,7.9,4
16:35:00,16:40:00,9.45,5
16:40:00,16:45:00,18.66,4
16:45:00,16:50:00,8.31,5
16:50:00,16:55:00,4.14,4
16:55:00,17:00:00,8.44,9
17:00:00,17:05:00,3.45,10
17:05:00,17:10:00,5.72,8
17:10:00,17:15:00,8.44,6
17:15:00,17:20:00,8.03,7
17:20:00,17:25:00,13.11,2
17:25:00,17:30:00,10.17,11
17:30:00,17:35:00,2.15,3
17:35:00,17:40:00,14.16,4
17:40:00,17:45:00,9.18,10
17:45:00,17:50:00,2.34,3
17:50:00,17:55:00,10.47,4
17:55:00,18:00:00,2.94,6
18:00:00,18:05:00,5.97,8
18:05:00,18:10:00,5.36,8
18:10:00,18:15:00,3.1,4
18:15:00,18:20:00,13.64,4
18:20:00,18:25:00,12.47,6
18:25:00,18:30:00,14.83,8
18:30:00,18:35:00,11.97,3
18:35:00,18:40:00,9.48,8
18:40:00,18:45:00,10.03,9
18:45:00,18:50:00,6.6,5
18:50:00,18:55:00,10.88,3
18:55:00,19:00:00,5.79,6
19:00:00,19:05:00,11.83,5
19:05:00,19:10:00,21.97,2
