FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,19.25,10
00:05:00,00:10:00,34.06,2
00:10:00,00:15:00,11.13,1
00:15:00,00:20:00,23.01,2
00:20:00,00:25:00,34.75,3
00:25:00,00:30:00,29.88,3
00:35:00,00:40:00,26.55,3
00:40:00,00:45:00,11.58,2
00:45:00,00:50:00,16.92,1
00:50:00,00:55:00,15.88,5
00:55:00,01:00:00,21.09,2
01:00:00,01:05:00,13.54,3
01:05:00,01:10:00,16.5,2
01:10:00,01:15:00,13.93,6
01:15:00,01:20:00,27.19,5
01:20:00,01:25:00,9.37,2
01:25:00,01:30:00,12.26,1
01:30:00,01:35:00,1.15,2
01:35:00,01:40:00,33.84,1
01:40:00,01:45:00,21.33,4
01:45:00,01:50:00,31.33,1
01:50:00,01:55:00,30.91,2
02:00:00,02:05:00,43.38,1
02:05:00,02:10:00,0.44,2
02:10:00,02:15:00,26.03,1
02:15:00,02:20:00,15.18,4
02:20:00,02:25:00,0.82,1
02:30:00,02:35:00,16.61,2
02:35:00,02:40:00,30.76,1
02:40:00,02:45:00,22.93,3
02:50:00,02:55:00,25.64,1
02:55:00,03:00:00,26.64,4
03:05:00,03:10:00,15.67,1
03:10:00,03:15:00,27.93,2
03:15:00,03:20:00,25.46,6
03:20:00,03:25:00,21.28,2
03:25:00,03:30:00,19.06,2
03:30:00,03:35:00,47,1
03:35:00,03:40:00,22.74,3
03:40:00,03:45:00,32.92,3
03:45:00,03:50:00,23.47,5
03:55:00,04:00:00,26.2,3
04:00:00,04:05:00,0.45,1
04:05:00,04:10:00,20.37,2
04:10:00,04:15:00,32.77,2
04:20:00,04:25:00,0.76,3
04:25:00,04:30:00,38.45,1
04:30:00,04:35:00,23.5,1
04:35:00,04:40:00,15.96,2
04:40:00,04:45:00,20.65,2
04:45:00,04:50:00,18.67,2
04:50:00,04:55:00,23.77,3
04:55:00,05:00:00,38.2,3
05:05:00,05:10:00,2.31,5
05:10:00,05:15:00,32.31,3
05:15:00,05:20:00,13.75,6
05:20:00,05:25:00,9.51,2
05:25:00,05:30:00,26.96,5
05:30:00,05:35:00,20.6,7
05:35:00,05:40:00,24.92,9
05:40:00,05:45:00,26.4,4
05:45:00,05:50:00,17.54,6
05:50:00,05:55:00,13.03,8
05:55:00,06:00:00,26.3,4
06:00:00,06:05:00,16.86,10
06:05:00,06:10:00,28.55,5
06:10:00,06:15:00,15.68,9
06:15:00,06:20:00,17.5,7
06:20:00,06:25:00,17.3,5
06:25:00,06:30:00,8.56,9
06:30:00,06:35:00,15.55,5
06:35:00,06:40:00,10.73,7
06:40:00,06:45:00,16.86,4
06:45:00,06:50:00,10.5,9
06:50:00,06:55:00,13.59,9
06:55:00,07:00:00,16.09,5
07:00:00,07:05:00,17.56,12
