FromTime,ToTime,AverageSpeed,NumberOfVehicle
00:10:00,00:15:00,0.02,3
00:15:00,00:20:00,0.01,1
00:30:00,00:35:00,0.02,1
01:05:00,01:10:00,0.01,2
01:35:00,01:40:00,0.02,1
03:05:00,03:10:00,24.18,3
03:10:00,03:15:00,20.89,1
03:15:00,03:20:00,29.94,2
03:30:00,03:35:00,18.68,5
03:35:00,03:40:00,18.2,4
03:40:00,03:45:00,35.01,3
03:45:00,03:50:00,20.98,4
03:50:00,03:55:00,19.23,1
04:05:00,04:10:00,12.49,2
04:10:00,04:15:00,42.3,1
04:20:00,04:25:00,16.45,2
04:25:00,04:30:00,3.12,1
04:30:00,04:35:00,2.24,3
04:35:00,04:40:00,28.35,3
04:40:00,04:45:00,0.01,2
04:45:00,04:50:00,13.29,3
04:50:00,04:55:00,17.67,6
05:05:00,05:10:00,20.86,6
05:10:00,05:15:00,12.53,1
05:15:00,05:20:00,21.91,6
05:20:00,05:25:00,17.61,8
05:25:00,05:30:00,31.04,6
05:30:00,05:35:00,28.14,6
05:35:00,05:40:00,19.04,7
05:40:00,05:45:00,18.32,3
05:45:00,05:50:00,21.71,6
05:50:00,05:55:00,18.76,7
06:05:00,06:10:00,16.17,10
06:10:00,06:15:00,4.98,5
06:15:00,06:20:00,6.66,9
06:20:00,06:25:00,8.28,8
06:25:00,06:30:00,7.45,13
06:30:00,06:35:00,12.89,10
06:35:00,06:40:00,11.59,8
06:40:00,06:45:00,12.79,16
06:45:00,06:50:00,15.11,8
06:50:00,06:55:00,7.28,17
07:05:00,07:10:00,8.48,5
07:10:00,07:15:00,8.95,6
07:15:00,07:20:00,8.62,14
07:20:00,07:25:00,7.09,4
07:25:00,07:30:00,6.81,9
07:30:00,07:35:00,5.43,7
07:35:00,07:40:00,13.56,5
07:40:00,07:45:00,9.36,11
07:45:00,07:50:00,9.69,10
07:50:00,07:55:00,5.74,10
08:05:00,08:10:00,4.06,9
08:10:00,08:15:00,6.67,2
08:15:00,08:20:00,11.22,5
08:20:00,08:25:00,12.19,9
08:25:00,08:30:00,12.85,3
08:30:00,08:35:00,10.86,9
08:35:00,08:40:00,7.44,8
08:40:00,08:45:00,8.37,10
08:45:00,08:50:00,7.44,3
