FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,30.21,1
00:10:00,00:15:00,28.61,4
00:20:00,00:25:00,11.9,3
00:25:00,00:30:00,24.53,2
00:35:00,00:40:00,17.68,2
00:45:00,00:50:00,22.57,6
00:50:00,00:55:00,4.38,1
00:55:00,01:00:00,13.06,3
01:00:00,01:05:00,21.15,2
01:05:00,01:10:00,22.88,4
01:10:00,01:15:00,24.36,3
01:15:00,01:20:00,38.45,1
01:20:00,01:25:00,6.33,5
01:25:00,01:30:00,33.79,2
01:30:00,01:35:00,16.59,1
01:45:00,01:50:00,23.59,5
01:55:00,02:00:00,31.34,2
02:00:00,02:05:00,24.8,2
02:10:00,02:15:00,2.29,1
02:15:00,02:20:00,20.95,3
02:20:00,02:25:00,21.42,1
02:25:00,02:30:00,30.76,1
02:35:00,02:40:00,26.03,1
02:40:00,02:45:00,26.69,2
02:45:00,02:50:00,0.59,2
02:50:00,02:55:00,27.37,4
02:55:00,03:00:00,30.46,3
03:00:00,03:05:00,0.2,1
03:05:00,03:10:00,9.62,2
03:10:00,03:15:00,35.27,2
03:15:00,03:20:00,21.3,3
03:20:00,03:25:00,8.59,2
03:25:00,03:30:00,25.09,4
03:35:00,03:40:00,32.54,1
03:40:00,03:45:00,12.11,3
03:45:00,03:50:00,37.87,6
03:50:00,03:55:00,19.35,2
03:55:00,04:00:00,23.92,7
04:05:00,04:10:00,18.33,5
04:10:00,04:15:00,47,1
04:15:00,04:20:00,14.9,3
04:20:00,04:25:00,16.87,4
04:25:00,04:30:00,16.39,3
04:30:00,04:35:00,14.37,5
04:35:00,04:40:00,35.25,1
04:40:00,04:45:00,14.22,1
04:45:00,04:50:00,48.34,1
04:55:00,05:00:00,18.19,1
05:00:00,05:05:00,22.02,3
05:05:00,05:10:00,12.7,3
05:10:00,05:15:00,20.42,2
05:15:00,05:20:00,7.91,1
05:20:00,05:25:00,30.12,3
05:25:00,05:30:00,17.94,6
05:30:00,05:35:00,27.61,4
05:35:00,05:40:00,29.2,5
05:40:00,05:45:00,17.01,11
05:45:00,05:50:00,18.05,6
05:50:00,05:55:00,14.02,7
05:55:00,06:00:00,22.25,2
06:00:00,06:05:00,21.26,5
06:05:00,06:10:00,16.2,5
06:10:00,06:15:00,15.31,12
06:15:00,06:20:00,15.04,8
06:20:00,06:25:00,14.83,9
06:25:00,06:30:00,12.45,8
06:30:00,06:35:00,18.12,3
06:35:00,06:40:00,10.45,15
06:40:00,06:45:00,20.12,7
06:45:00,06:50:00,9.66,3
06:50:00,06:55:00,5.49,2
06:55:00,07:00:00,9.32,6
07:00:00,07:05:00,21.62,3
07:05:00,07:10:00,10.3,11
07:10:00,07:15:00,12.54,8
07:15:00,07:20:00,16.53,11
07:20:00,07:25:00,7.47,5
07:25:00,07:30:00,5.42,6
07:30:00,07:35:00,5.79,11
07:35:00,07:40:00,4.33,4
07:40:00,07:45:00,9.67,15
07:45:00,07:50:00,21.69,6
07:50:00,07:55:00,10.05,3
07:55:00,08:00:00,7.98,5
08:00:00,08:05:00,3.71,5
08:05:00,08:10:00,5.82,11
08:10:00,08:15:00,9.64,9
08:15:00,08:20:00,5.16,6
08:20:00,08:25:00,9.27,6
08:25:00,08:30:00,5,11
08:30:00,08:35:00,10.51,6
08:35:00,08:40:00,10.14,8
08:40:00,08:45:00,5.57,4
08:45:00,08:50:00,7.76,12
08:50:00,08:55:00,10.39,8
08:55:00,09:00:00,14.21,10
09:00:00,09:05:00,3.45,6
09:05:00,09:10:00,13.96,9
09:10:00,09:15:00,14.16,9
09:15:00,09:20:00,13.83,13
09:20:00,09:25:00,6.75,5
09:25:00,09:30:00,6.4,8
09:30:00,09:35:00,9.41,16
09:35:00,09:40:00,7.79,11
09:40:00,09:45:00,16.56,6
09:45:00,09:50:00,5.22,1
09:50:00,09:55:00,3.79,10
09:55:00,10:00:00,7.49,11
10:00:00,10:05:00,10.54,2
10:05:00,10:10:00,5.6,9
10:10:00,10:15:00,8.33,6
10:15:00,10:20:00,6.64,5
10:20:00,10:25:00,5.32,7
10:25:00,10:30:00,13,4
10:30:00,10:35:00,14.69,9
10:35:00,10:40:00,5.63,9
10:40:00,10:45:00,7.61,3
10:45:00,10:50:00,8.86,5
10:50:00,10:55:00,6.74,8
10:55:00,11:00:00,8.56,10
11:00:00,11:05:00,13.11,3
11:05:00,11:10:00,8.27,8
11:10:00,11:15:00,10.18,7
11:15:00,11:20:00,9.73,18
11:20:00,11:25:00,7.27,6
11:25:00,11:30:00,11.48,11
11:30:00,11:35:00,4.29,5
11:35:00,11:40:00,5.41,5
11:40:00,11:45:00,6.8,7
11:45:00,11:50:00,6.63,4
11:50:00,11:55:00,6.36,12
11:55:00,12:00:00,8.13,9
12:00:00,12:05:00,2.75,3
12:05:00,12:10:00,0.11,1
12:10:00,12:15:00,7.22,9
12:15:00,12:20:00,7.46,4
12:20:00,12:25:00,10.18,8
12:25:00,12:30:00,4.03,4
12:30:00,12:35:00,0.8,5
12:35:00,12:40:00,3.09,2
12:40:00,12:45:00,8.5,2
12:45:00,12:50:00,4.17,2
12:50:00,12:55:00,13.14,5
12:55:00,13:00:00,4.72,7
13:00:00,13:05:00,7.4,10
13:05:00,13:10:00,12.91,3
13:10:00,13:15:00,11.44,4
13:15:00,13:20:00,4.13,9
13:20:00,13:25:00,14.21,10
13:25:00,13:30:00,4.64,3
13:30:00,13:35:00,5.88,1
13:35:00,13:40:00,5.61,6
13:40:00,13:45:00,8.65,4
13:45:00,13:50:00,4.31,6
13:50:00,13:55:00,0.2,2
13:55:00,14:00:00,1.85,7
14:00:00,14:05:00,4.83,8
14:05:00,14:10:00,0.09,1
14:10:00,14:15:00,1.72,3
14:15:00,14:20:00,16.1,2
14:20:00,14:25:00,2.36,1
14:25:00,14:30:00,5.29,2
14:30:00,14:35:00,5.82,9
14:35:00,14:40:00,2.48,10
14:40:00,14:45:00,12.85,2
14:45:00,14:50:00,1.56,2
14:50:00,14:55:00,1.39,4
14:55:00,15:00:00,7.73,4
15:00:00,15:05:00,5.39,10
15:05:00,15:10:00,8.26,3
15:10:00,15:15:00,3.4,7
15:15:00,15:20:00,2.91,1
15:20:00,15:25:00,7.17,7
15:25:00,15:30:00,2.26,5
15:30:00,15:35:00,8.91,7
15:35:00,15:40:00,19.69,3
15:40:00,15:45:00,6.96,6
15:45:00,15:50:00,2.16,3
15:50:00,15:55:00,8.36,6
15:55:00,16:00:00,7.49,5
16:00:00,16:05:00,9.49,2
16:05:00,16:10:00,4.04,9
16:10:00,16:15:00,4.88,6
16:15:00,16:20:00,3.5,2
16:20:00,16:25:00,13.92,4
16:25:00,16:30:00,2.65,9
16:30:00,16:35:00,4.21,9
16:35:00,16:40:00,8.16,2
16:40:00,16:45:00,2.71,3
16:45:00,16:50:00,6.38,4
16:50:00,16:55:00,5.35,5
16:55:00,17:00:00,2.08,4
17:00:00,17:05:00,1.45,4
17:05:00,17:10:00,5.47,4
17:10:00,17:15:00,6.14,6
17:15:00,17:20:00,5.79,4
17:20:00,17:25:00,1.7,6
17:25:00,17:30:00,6.89,6
17:30:00,17:35:00,0.28,3
17:35:00,17:40:00,4.64,7
17:40:00,17:45:00,1.4,2
17:45:00,17:50:00,2.19,4
17:50:00,17:55:00,4.03,5
17:55:00,18:00:00,4.94,4
18:00:00,18:05:00,3.64,7
18:05:00,18:10:00,4.99,5
18:10:00,18:15:00,7,2
18:15:00,18:20:00,4.74,6
18:20:00,18:25:00,1.76,6
18:25:00,18:30:00,9.42,4
18:30:00,18:35:00,3.17,6
18:35:00,18:40:00,3.58,5
18:40:00,18:45:00,2.25,8
18:45:00,18:50:00,3.95,3
18:50:00,18:55:00,14.17,2
18:55:00,19:00:00,1.19,2
19:00:00,19:05:00,1.74,3
19:05:00,19:10:00,7.7,4
19:10:00,19:15:00,3.41,6
19:15:00,19:20:00,3.6,5
19:20:00,19:25:00,0.07,3
19:25:00,19:30:00,0.1,3
19:30:00,19:35:00,3.46,8
19:35:00,19:40:00,9.79,3
19:40:00,19:45:00,2.55,4
19:45:00,19:50:00,9.86,6
19:50:00,19:55:00,2.1,6
19:55:00,20:00:00,9.62,9
20:00:00,20:05:00,0.09,5
20:05:00,20:10:00,9.74,6
20:10:00,20:15:00,17.57,3
20:15:00,20:20:00,13.93,8
20:20:00,20:25:00,0.04,1
20:25:00,20:30:00,7.69,7
20:30:00,20:35:00,2.67,6
20:35:00,20:40:00,5.73,8
20:40:00,20:45:00,18.55,3
20:45:00,20:50:00,18.83,5
20:50:00,20:55:00,16.72,3
20:55:00,21:00:00,29.98,4
21:00:00,21:05:00,7.64,4
21:05:00,21:10:00,20.14,4
21:10:00,21:15:00,12.25,7
21:15:00,21:20:00,9.8,4
21:20:00,21:25:00,21.06,5
21:25:00,21:30:00,17.62,9
21:30:00,21:35:00,4.92,4
21:35:00,21:40:00,17.84,3
21:40:00,21:45:00,0.13,1
21:50:00,21:55:00,4.74,5
21:55:00,22:00:00,14.71,1
22:00:00,22:05:00,3.24,5
22:05:00,22:10:00,14.01,4
22:10:00,22:15:00,14.71,2
22:15:00,22:20:00,3.31,3
22:20:00,22:25:00,6.11,2
22:25:00,22:30:00,7.39,6
22:30:00,22:35:00,19.91,1
22:35:00,22:40:00,0.55,1
22:40:00,22:45:00,13.66,4
22:45:00,22:50:00,14.51,2
22:50:00,22:55:00,30.21,1
22:55:00,23:00:00,13.6,4
23:00:00,23:05:00,14.61,3
23:05:00,23:10:00,17.43,5
23:10:00,23:15:00,12.3,7
23:15:00,23:20:00,27.2,3
23:20:00,23:25:00,10.51,2
23:25:00,23:30:00,15.33,2
23:30:00,23:35:00,7,5
23:35:00,23:40:00,3.58,1
23:40:00,23:45:00,0.43,1
23:45:00,23:50:00,18.35,5
23:50:00,23:55:00,15.29,4
