FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,8.2,3
00:15:00,00:20:00,15.51,3
00:20:00,00:25:00,36,1
00:25:00,00:30:00,17.07,4
00:30:00,00:35:00,20.75,3
00:35:00,00:40:00,22.71,2
00:40:00,00:45:00,30.21,1
00:45:00,00:50:00,8.33,1
00:50:00,00:55:00,27.74,1
01:00:00,01:05:00,37.74,2
01:05:00,01:10:00,20.44,3
01:10:00,01:15:00,23.96,2
01:15:00,01:20:00,36,1
01:20:00,01:25:00,21.86,3
01:25:00,01:30:00,25.23,2
01:30:00,01:35:00,27.64,2
01:35:00,01:40:00,13.54,1
01:40:00,01:45:00,29.39,3
01:45:00,01:50:00,0.45,1
01:50:00,01:55:00,12.65,4
01:55:00,02:00:00,17.44,1
02:00:00,02:05:00,21.72,2
02:05:00,02:10:00,28.55,2
02:10:00,02:15:00,30.3,2
02:15:00,02:20:00,17.07,2
02:20:00,02:25:00,0.27,1
02:25:00,02:30:00,25.03,2
02:30:00,02:35:00,23.5,1
02:35:00,02:40:00,19.38,2
02:40:00,02:45:00,28.84,3
02:45:00,02:50:00,32.91,3
02:50:00,02:55:00,33.84,1
02:55:00,03:00:00,21.15,1
03:00:00,03:05:00,31.33,1
03:05:00,03:10:00,32.23,2
03:10:00,03:15:00,31.92,1
03:15:00,03:20:00,22.46,2
03:20:00,03:25:00,0.77,1
03:25:00,03:30:00,0.2,1
03:35:00,03:40:00,13.37,2
03:40:00,03:45:00,27.98,3
03:45:00,03:50:00,37.6,1
03:55:00,04:00:00,20.25,3
04:05:00,04:10:00,0.68,1
04:15:00,04:20:00,20.14,1
04:20:00,04:25:00,29.22,2
04:25:00,04:30:00,10.91,6
04:30:00,04:35:00,8.21,1
04:35:00,04:40:00,34.47,3
04:40:00,04:45:00,2.66,1
04:45:00,04:50:00,19.1,4
04:50:00,04:55:00,39.35,1
04:55:00,05:00:00,28.06,2
05:00:00,05:05:00,14.22,1
05:05:00,05:10:00,36.78,1
05:10:00,05:15:00,0.32,1
05:15:00,05:20:00,18.71,4
05:20:00,05:25:00,8.53,4
05:25:00,05:30:00,15.67,2
05:30:00,05:35:00,26.87,3
05:35:00,05:40:00,16.85,4
05:40:00,05:45:00,13.83,3
05:45:00,05:50:00,12.84,5
05:50:00,05:55:00,7.73,1
05:55:00,06:00:00,10.58,1
06:00:00,06:05:00,16.5,7
06:05:00,06:10:00,36.78,1
06:10:00,06:15:00,23.13,3
06:15:00,06:20:00,0.47,1
06:20:00,06:25:00,11.33,2
06:25:00,06:30:00,22.26,7
06:30:00,06:35:00,21.03,3
06:35:00,06:40:00,12.18,2
06:40:00,06:45:00,21.29,3
06:45:00,06:50:00,13.54,1
06:50:00,06:55:00,10.6,3
06:55:00,07:00:00,15.06,6
07:00:00,07:05:00,16.78,6
07:05:00,07:10:00,11.99,3
07:10:00,07:15:00,0.75,1
07:15:00,07:20:00,18.23,3
07:20:00,07:25:00,14.97,2
07:25:00,07:30:00,14.57,7
07:30:00,07:35:00,25.56,4
07:40:00,07:45:00,19.55,4
07:45:00,07:50:00,26.42,7
07:55:00,08:00:00,14.98,5
08:00:00,08:05:00,15.16,5
08:05:00,08:10:00,15.64,9
08:10:00,08:15:00,7.8,4
08:15:00,08:20:00,12.2,6
08:20:00,08:25:00,13.13,2
08:25:00,08:30:00,13.8,2
08:35:00,08:40:00,9.38,5
08:40:00,08:45:00,19.6,4
