timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/31/2022,Saturday,5480,6343,1305,165,200,116,2,13611
12/5/2022,Monday,5907,7050,1937,193,286,200,24,15597
12/4/2022,Sunday,7498,6979,2194,187,288,245,22,17413
12/25/2022,Sunday,7379,7192,2201,174,251,234,30,17461
12/11/2022,Sunday,7907,7130,2190,174,281,243,19,17944
