timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/13/2022,Tuesday,23198,33032,4913,546,3555,783,29,66056
12/1/2022,Thursday,23184,32523,4864,594,3637,771,37,65610
12/2/2022,Friday,23467,31641,5181,562,3534,868,36,65289
12/6/2022,Tuesday,22320,32984,4862,555,3465,769,26,64981
12/21/2022,Wednesday,23642,31196,5031,576,3522,860,43,64870
