timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/31/2022,Saturday,4341,2517,870,327,428,90,4,8577
12/4/2022,Sunday,4475,2474,1132,346,433,105,130,9095
12/25/2022,Sunday,4387,2572,1190,378,416,146,203,9292
12/11/2022,Sunday,4606,2532,1076,353,492,172,176,9407
12/18/2022,Sunday,5038,2690,1184,344,537,188,192,10173
