timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/9/2022,Friday,2407,5027,265,4,169,13,0,7885
12/21/2022,Wednesday,2466,5166,298,7,198,13,0,8148
12/26/2022,Monday,2791,5129,358,2,198,21,0,8499
12/30/2022,Friday,3559,4596,372,4,173,44,11,8759
12/24/2022,Saturday,3372,5004,549,7,214,46,3,9195
