timestamp,7up,bus,car,motorcycle,pickup,trailer,truck,total,day
2022-09-30,444.0,3.0,5932.0,12028.0,1083.0,2.0,56.0,19548.0,Friday
2022-09-09,438.0,4.0,5746.0,11290.0,1165.0,1.0,52.0,18696.0,Friday
2022-09-23,397.0,3.0,6103.0,11033.0,1094.0,3.0,49.0,18682.0,Friday
2022-09-16,411.0,4.0,5872.0,11150.0,1099.0,3.0,55.0,18594.0,Friday
2022-09-19,396.0,4.0,5534.0,11480.0,1066.0,0.0,52.0,18532.0,Monday
