timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/31/2022,Saturday,4260,7136,416,5,355,41,0,12213
12/25/2022,Sunday,5084,7289,653,5,438,31,0,13500
12/4/2022,Sunday,4968,7447,646,7,426,48,3,13545
12/11/2022,Sunday,5162,7416,642,3,430,42,2,13697
12/5/2022,Monday,4715,8266,567,13,418,42,3,14024
