timestamp,day,car,motorcycle,pickup,bus,7up,truck,trailer,total
12/7/2022,Wednesday,9677,11802,3506,183,588,540,75,26371
12/1/2022,Thursday,9232,12378,3310,212,579,477,64,26252
12/16/2022,Friday,9486,11970,3334,192,517,415,56,25970
12/23/2022,Friday,9535,11589,3400,188,477,413,71,25673
12/8/2022,Thursday,9548,11371,3332,207,623,460,64,25605
