FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,day_name
14:05:00,14:10:00,5.96,14,2023-02-02,Thursday
14:10:00,14:15:00,5.84,10,2023-02-02,Thursday
14:15:00,14:20:00,3.0,8,2023-02-02,Thursday
14:20:00,14:25:00,5.05,9,2023-02-02,Thursday
14:25:00,14:30:00,4.17,14,2023-02-02,Thursday
14:30:00,14:35:00,6.86,13,2023-02-02,Thursday
14:35:00,14:40:00,4.97,13,2023-02-02,Thursday
14:40:00,14:45:00,9.84,19,2023-02-02,Thursday
14:45:00,14:50:00,13.02,14,2023-02-02,Thursday
14:50:00,14:55:00,20.64,11,2023-02-02,Thursday
14:55:00,15:00:00,14.03,14,2023-02-02,Thursday
15:00:00,15:05:00,26.64,3,2023-02-02,Thursday
15:05:00,15:10:00,16.35,8,2023-02-02,Thursday
15:10:00,15:15:00,13.98,9,2023-02-02,Thursday
15:15:00,15:20:00,13.52,14,2023-02-02,Thursday
15:20:00,15:25:00,9.06,11,2023-02-02,Thursday
15:25:00,15:30:00,11.47,6,2023-02-02,Thursday
15:30:00,15:35:00,18.2,10,2023-02-02,Thursday
15:35:00,15:40:00,13.62,10,2023-02-02,Thursday
15:40:00,15:45:00,7.94,17,2023-02-02,Thursday
15:45:00,15:50:00,5.79,19,2023-02-02,Thursday
15:50:00,15:55:00,8.62,17,2023-02-02,Thursday
15:55:00,16:00:00,10.38,13,2023-02-02,Thursday
16:00:00,16:05:00,3.28,14,2023-02-02,Thursday
16:05:00,16:10:00,10.41,19,2023-02-02,Thursday
16:10:00,16:15:00,7.57,20,2023-02-02,Thursday
16:15:00,16:20:00,15.11,10,2023-02-02,Thursday
16:20:00,16:25:00,10.43,16,2023-02-02,Thursday
16:25:00,16:30:00,16.07,7,2023-02-02,Thursday
16:30:00,16:35:00,6.56,7,2023-02-02,Thursday
16:35:00,16:40:00,4.68,12,2023-02-02,Thursday
16:40:00,16:45:00,7.59,25,2023-02-02,Thursday
16:45:00,16:50:00,13.93,8,2023-02-02,Thursday
16:50:00,16:55:00,12.7,12,2023-02-02,Thursday
16:55:00,17:00:00,13.17,8,2023-02-02,Thursday
17:00:00,17:05:00,11.51,20,2023-02-02,Thursday
17:05:00,17:10:00,9.45,7,2023-02-02,Thursday
17:10:00,17:15:00,9.48,20,2023-02-02,Thursday
17:15:00,17:20:00,6.45,23,2023-02-02,Thursday
17:20:00,17:25:00,7.73,12,2023-02-02,Thursday
17:25:00,17:30:00,8.68,16,2023-02-02,Thursday
17:30:00,17:35:00,9.56,12,2023-02-02,Thursday
17:35:00,17:40:00,10.5,15,2023-02-02,Thursday
17:40:00,17:45:00,9.32,18,2023-02-02,Thursday
17:45:00,17:50:00,8.28,19,2023-02-02,Thursday
17:50:00,17:55:00,9.04,14,2023-02-02,Thursday
17:55:00,18:00:00,11.19,8,2023-02-02,Thursday
18:00:00,18:05:00,9.39,15,2023-02-02,Thursday
18:05:00,18:10:00,10.83,13,2023-02-02,Thursday
18:10:00,18:15:00,8.6,9,2023-02-02,Thursday
18:15:00,18:20:00,19.23,12,2023-02-02,Thursday
18:20:00,18:25:00,15.1,11,2023-02-02,Thursday
18:25:00,18:30:00,8.3,14,2023-02-02,Thursday
18:30:00,18:35:00,8.01,11,2023-02-02,Thursday
18:35:00,18:40:00,7.05,14,2023-02-02,Thursday
18:40:00,18:45:00,9.26,13,2023-02-02,Thursday
18:45:00,18:50:00,3.81,12,2023-02-02,Thursday
18:50:00,18:55:00,8.18,10,2023-02-02,Thursday
18:55:00,19:00:00,9.29,17,2023-02-02,Thursday
19:00:00,19:05:00,7.78,19,2023-02-02,Thursday
19:05:00,19:10:00,9.63,16,2023-02-02,Thursday
19:10:00,19:15:00,6.65,17,2023-02-02,Thursday
19:15:00,19:20:00,5.56,17,2023-02-02,Thursday
19:20:00,19:25:00,10.3,11,2023-02-02,Thursday
19:25:00,19:30:00,8.52,15,2023-02-02,Thursday
19:30:00,19:35:00,8.21,10,2023-02-02,Thursday
19:35:00,19:40:00,5.49,13,2023-02-02,Thursday
19:40:00,19:45:00,4.87,22,2023-02-02,Thursday
19:45:00,19:50:00,14.95,15,2023-02-02,Thursday
19:50:00,19:55:00,20.79,7,2023-02-02,Thursday
19:55:00,20:00:00,12.08,10,2023-02-02,Thursday
20:00:00,20:05:00,14.62,12,2023-02-02,Thursday
20:05:00,20:10:00,14.65,11,2023-02-02,Thursday
20:10:00,20:15:00,11.0,23,2023-02-02,Thursday
20:15:00,20:20:00,7.99,11,2023-02-02,Thursday
20:20:00,20:25:00,9.98,13,2023-02-02,Thursday
20:25:00,20:30:00,6.98,12,2023-02-02,Thursday
20:30:00,20:35:00,6.08,15,2023-02-02,Thursday
20:35:00,20:40:00,6.29,24,2023-02-02,Thursday
20:40:00,20:45:00,11.07,13,2023-02-02,Thursday
20:45:00,20:50:00,8.92,22,2023-02-02,Thursday
20:50:00,20:55:00,8.12,9,2023-02-02,Thursday
20:55:00,21:00:00,10.82,12,2023-02-02,Thursday
21:00:00,21:05:00,15.05,13,2023-02-02,Thursday
21:05:00,21:10:00,10.17,15,2023-02-02,Thursday
21:10:00,21:15:00,16.53,10,2023-02-02,Thursday
21:15:00,21:20:00,14.99,13,2023-02-02,Thursday
21:20:00,21:25:00,11.15,24,2023-02-02,Thursday
21:25:00,21:30:00,22.71,8,2023-02-02,Thursday
21:30:00,21:35:00,18.26,14,2023-02-02,Thursday
21:35:00,21:40:00,15.94,11,2023-02-02,Thursday
21:40:00,21:45:00,9.51,14,2023-02-02,Thursday
21:45:00,21:50:00,22.08,13,2023-02-02,Thursday
21:50:00,21:55:00,14.42,11,2023-02-02,Thursday
21:55:00,22:00:00,16.45,8,2023-02-02,Thursday
22:00:00,22:05:00,5.53,7,2023-02-02,Thursday
22:05:00,22:10:00,12.46,10,2023-02-02,Thursday
22:10:00,22:15:00,14.51,15,2023-02-02,Thursday
22:15:00,22:20:00,14.02,11,2023-02-02,Thursday
22:20:00,22:25:00,15.94,10,2023-02-02,Thursday
22:25:00,22:30:00,16.59,6,2023-02-02,Thursday
22:30:00,22:35:00,13.16,10,2023-02-02,Thursday
22:35:00,22:40:00,17.34,12,2023-02-02,Thursday
22:40:00,22:45:00,12.87,9,2023-02-02,Thursday
22:45:00,22:50:00,16.48,7,2023-02-02,Thursday
22:50:00,22:55:00,12.66,13,2023-02-02,Thursday
22:55:00,23:00:00,5.62,2,2023-02-02,Thursday
23:00:00,23:05:00,14.01,6,2023-02-02,Thursday
23:05:00,23:10:00,12.43,8,2023-02-02,Thursday
23:10:00,23:15:00,21.58,6,2023-02-02,Thursday
23:15:00,23:20:00,21.74,5,2023-02-02,Thursday
23:20:00,23:25:00,22.45,7,2023-02-02,Thursday
23:25:00,23:30:00,13.76,8,2023-02-02,Thursday
23:30:00,23:35:00,10.02,5,2023-02-02,Thursday
23:35:00,23:40:00,30.93,5,2023-02-02,Thursday
23:40:00,23:45:00,19.8,6,2023-02-02,Thursday
23:45:00,23:50:00,20.49,9,2023-02-02,Thursday
23:50:00,23:55:00,25.57,4,2023-02-02,Thursday
