FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,32.59,4
00:00:00,00:05:00,19.54,1
00:05:00,00:10:00,51.12,3
00:10:00,00:15:00,35.33,10
00:15:00,00:20:00,35.93,2
00:20:00,00:25:00,26.88,5
00:25:00,00:30:00,26.8,7
00:30:00,00:35:00,36.62,5
00:35:00,00:40:00,33.51,10
00:40:00,00:45:00,28.95,6
00:45:00,00:50:00,29.44,9
00:50:00,00:55:00,18.88,7
00:55:00,01:00:00,38.68,2
01:00:00,01:05:00,33.3,9
01:05:00,01:10:00,24.97,8
01:10:00,01:15:00,25.23,5
01:15:00,01:20:00,36.76,5
01:20:00,01:25:00,30.55,3
01:25:00,01:30:00,34.06,7
01:30:00,01:35:00,31.46,6
01:35:00,01:40:00,31.53,4
01:40:00,01:45:00,15.42,7
01:45:00,01:50:00,30.81,9
01:50:00,01:55:00,22.97,6
01:55:00,02:00:00,38.01,3
02:00:00,02:05:00,26.49,3
02:05:00,02:10:00,32.46,4
02:10:00,02:15:00,21.52,4
02:15:00,02:20:00,29.45,2
02:20:00,02:25:00,33.44,5
02:25:00,02:30:00,42.94,4
02:30:00,02:35:00,33.87,6
02:35:00,02:40:00,26.99,5
02:40:00,02:45:00,10.93,2
02:45:00,02:50:00,30.34,9
02:50:00,02:55:00,22.63,5
02:55:00,03:00:00,24.35,3
03:05:00,03:10:00,1.53,3
03:10:00,03:15:00,23.29,9
03:15:00,03:20:00,41.48,4
03:20:00,03:25:00,37.77,6
03:25:00,03:30:00,25.28,5
03:30:00,03:35:00,27.43,3
03:35:00,03:40:00,37.42,6
03:40:00,03:45:00,30.86,9
03:45:00,03:50:00,27.69,7
03:50:00,03:55:00,17.97,2
03:55:00,04:00:00,20.89,9
04:00:00,04:05:00,28.47,6
04:05:00,04:10:00,33.71,5
04:10:00,04:15:00,36.26,2
04:15:00,04:20:00,37.89,9
04:20:00,04:25:00,37.97,8
04:25:00,04:30:00,19.18,6
04:30:00,04:35:00,44.02,5
04:35:00,04:40:00,38.96,11
04:40:00,04:45:00,26.41,4
04:45:00,04:50:00,37.91,8
04:50:00,04:55:00,27.59,6
04:55:00,05:00:00,21.85,4
05:00:00,05:05:00,19.91,5
05:05:00,05:10:00,21.82,8
05:10:00,05:15:00,34.85,8
05:15:00,05:20:00,30.38,5
05:20:00,05:25:00,17.99,9
05:25:00,05:30:00,42.69,4
05:30:00,05:35:00,23.46,11
05:35:00,05:40:00,19.01,4
05:40:00,05:45:00,32.87,5
05:45:00,05:50:00,21.83,6
05:50:00,05:55:00,29.78,6
05:55:00,06:00:00,28.69,11
06:00:00,06:05:00,28.31,3
06:05:00,06:10:00,25.37,15
06:10:00,06:15:00,23.07,12
06:15:00,06:20:00,28.11,11
06:20:00,06:25:00,25.38,6
06:25:00,06:30:00,29.28,10
06:30:00,06:35:00,11.76,9
06:35:00,06:40:00,23.36,11
06:40:00,06:45:00,20.95,10
06:45:00,06:50:00,10.44,5
06:50:00,06:55:00,16.37,15
06:55:00,07:00:00,17.97,12
07:00:00,07:05:00,24.59,10
07:05:00,07:10:00,30.43,7
07:10:00,07:15:00,25.06,10
07:15:00,07:20:00,13.21,10
07:20:00,07:25:00,22.28,9
07:25:00,07:30:00,21.47,13
07:30:00,07:35:00,17.67,14
07:35:00,07:40:00,19.25,6
07:40:00,07:45:00,23.79,5
07:45:00,07:50:00,21.12,14
07:50:00,07:55:00,13.6,7
07:55:00,08:00:00,21,11
08:00:00,08:05:00,11.94,14
08:05:00,08:10:00,15.52,10
08:10:00,08:15:00,25.05,6
08:15:00,08:20:00,11.01,11
08:20:00,08:25:00,16.89,13
08:25:00,08:30:00,26.04,12
08:30:00,08:35:00,18.9,10
08:35:00,08:40:00,15.62,13
08:40:00,08:45:00,20.13,12
08:45:00,08:50:00,24.85,12
08:50:00,08:55:00,21.75,9
08:55:00,09:00:00,24.37,15
09:00:00,09:05:00,15.86,12
09:05:00,09:10:00,20.15,16
09:10:00,09:15:00,20.25,13
09:15:00,09:20:00,14.97,15
09:20:00,09:25:00,26,14
09:25:00,09:30:00,24.04,16
09:30:00,09:35:00,24.64,11
09:35:00,09:40:00,21.55,10
09:40:00,09:45:00,22.33,20
09:45:00,09:50:00,22.98,12
09:50:00,09:55:00,29.49,8
09:55:00,10:00:00,13.81,16
10:00:00,10:05:00,19.84,11
10:05:00,10:10:00,24.89,8
10:10:00,10:15:00,20.09,20
10:15:00,10:20:00,16.41,14
10:20:00,10:25:00,24.53,13
10:25:00,10:30:00,18.71,22
10:30:00,10:35:00,27.25,10
10:35:00,10:40:00,17.4,4
10:40:00,10:45:00,19.39,16
10:45:00,10:50:00,19.73,16
10:50:00,10:55:00,14.97,9
10:55:00,11:00:00,27.67,19
11:00:00,11:05:00,16.36,13
11:05:00,11:10:00,15.01,20
11:10:00,11:15:00,12.74,19
11:15:00,11:20:00,24.27,18
11:20:00,11:25:00,20.99,14
11:25:00,11:30:00,19.9,30
11:30:00,11:35:00,21.75,9
11:35:00,11:40:00,20.11,13
11:40:00,11:45:00,18.32,17
11:45:00,11:50:00,19.02,10
11:50:00,11:55:00,22.88,20
11:55:00,12:00:00,19.42,16
12:00:00,12:05:00,22.09,13
12:05:00,12:10:00,20.04,18
12:10:00,12:15:00,18.48,7
12:15:00,12:20:00,20.15,7
12:20:00,12:25:00,19.81,9
12:25:00,12:30:00,22.25,17
12:30:00,12:35:00,20.44,13
12:35:00,12:40:00,16.73,11
12:40:00,12:45:00,20.13,14
