FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,23.15,13
00:00:00,00:05:00,34.59,7
00:05:00,00:10:00,21.78,1
00:10:00,00:15:00,26.15,12
00:15:00,00:20:00,21.05,10
00:20:00,00:25:00,25.27,13
00:25:00,00:30:00,23.02,9
00:30:00,00:35:00,25.91,8
00:35:00,00:40:00,33.54,5
00:40:00,00:45:00,29.21,6
00:45:00,00:50:00,24.38,6
00:50:00,00:55:00,29.13,10
00:55:00,01:00:00,28.6,8
01:00:00,01:05:00,32.46,7
01:05:00,01:10:00,21.3,6
01:10:00,01:15:00,41.26,2
01:15:00,01:20:00,23.2,10
01:20:00,01:25:00,23.61,8
01:25:00,01:30:00,35.13,4
01:30:00,01:35:00,29.46,4
01:35:00,01:40:00,31.28,8
01:40:00,01:45:00,16.3,7
01:45:00,01:50:00,27.45,4
01:50:00,01:55:00,26.15,10
01:55:00,02:00:00,40.8,3
02:00:00,02:05:00,26.62,9
02:05:00,02:10:00,29.72,3
02:10:00,02:15:00,32.94,3
02:15:00,02:20:00,19.59,6
02:20:00,02:25:00,23.45,6
02:25:00,02:30:00,35.28,5
02:30:00,02:35:00,37.96,7
02:35:00,02:40:00,36.58,8
02:40:00,02:45:00,24.47,5
02:45:00,02:50:00,16.28,2
02:50:00,02:55:00,30.98,7
02:55:00,03:00:00,25.01,3
03:00:00,03:05:00,22.23,2
03:05:00,03:10:00,17.56,5
03:10:00,03:15:00,19.37,9
03:15:00,03:20:00,38.87,3
03:20:00,03:25:00,25.24,10
03:25:00,03:30:00,33.56,2
03:30:00,03:35:00,33.72,5
03:35:00,03:40:00,26.85,11
03:40:00,03:45:00,44.85,3
03:45:00,03:50:00,30.87,7
03:50:00,03:55:00,27.08,9
03:55:00,04:00:00,29.86,9
04:00:00,04:05:00,26.29,5
04:05:00,04:10:00,26.76,3
04:15:00,04:20:00,27.31,8
04:20:00,04:25:00,18.58,10
04:25:00,04:30:00,28.68,7
04:30:00,04:35:00,25.37,6
04:35:00,04:40:00,33.22,5
04:40:00,04:45:00,24.43,9
04:45:00,04:50:00,23.02,8
04:50:00,04:55:00,28.58,5
04:55:00,05:00:00,18.9,7
05:00:00,05:05:00,35.81,7
05:05:00,05:10:00,36.82,7
05:10:00,05:15:00,17.14,5
05:15:00,05:20:00,28.11,10
05:20:00,05:25:00,26.22,11
05:25:00,05:30:00,33.11,3
05:30:00,05:35:00,13.07,7
05:35:00,05:40:00,21.13,7
05:40:00,05:45:00,26.75,5
05:45:00,05:50:00,27.72,11
