FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,33.79,9
00:00:00,00:05:00,29.76,7
00:05:00,00:10:00,44.31,5
00:10:00,00:15:00,34.57,8
00:15:00,00:20:00,34.2,3
00:20:00,00:25:00,30.9,7
00:25:00,00:30:00,37.36,12
00:30:00,00:35:00,39.81,7
00:35:00,00:40:00,29.3,8
00:40:00,00:45:00,34.66,14
00:45:00,00:50:00,24.06,10
00:50:00,00:55:00,24.66,3
00:55:00,01:00:00,27.68,9
01:00:00,01:05:00,32.93,8
01:05:00,01:10:00,23.41,5
01:10:00,01:15:00,35.93,5
01:15:00,01:20:00,37.21,5
01:20:00,01:25:00,39.43,8
01:25:00,01:30:00,21.77,9
01:30:00,01:35:00,25.13,5
01:35:00,01:40:00,17.58,6
01:40:00,01:45:00,21.13,5
01:45:00,01:50:00,38.9,11
01:50:00,01:55:00,29.13,4
01:55:00,02:00:00,25.12,3
02:00:00,02:05:00,29.91,7
02:05:00,02:10:00,23.36,6
02:10:00,02:15:00,20.97,6
02:15:00,02:20:00,34.34,3
02:20:00,02:25:00,4.87,2
02:25:00,02:30:00,35.29,8
02:30:00,02:35:00,29.24,4
02:35:00,02:40:00,33.24,10
02:40:00,02:45:00,36.95,3
02:45:00,02:50:00,36.18,10
02:50:00,02:55:00,28.54,5
02:55:00,03:00:00,30.48,8
03:00:00,03:05:00,49.15,4
03:05:00,03:10:00,30.54,8
03:10:00,03:15:00,18.77,5
03:15:00,03:20:00,33.29,6
03:20:00,03:25:00,36.51,3
03:25:00,03:30:00,18.87,6
03:30:00,03:35:00,32.53,8
03:35:00,03:40:00,46.22,1
03:40:00,03:45:00,32.74,8
03:45:00,03:50:00,37.53,7
03:50:00,03:55:00,28.77,7
03:55:00,04:00:00,25.48,9
04:00:00,04:05:00,33.86,3
04:05:00,04:10:00,35.74,4
04:10:00,04:15:00,13.75,3
04:15:00,04:20:00,47.82,6
04:20:00,04:25:00,20.67,5
04:25:00,04:30:00,25.55,5
04:30:00,04:35:00,39.14,10
04:35:00,04:40:00,32.86,8
04:40:00,04:45:00,38.22,9
04:45:00,04:50:00,35.41,8
04:50:00,04:55:00,32.48,9
04:55:00,05:00:00,39.8,11
