FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,29.55,9
00:00:00,00:05:00,41.13,3
00:05:00,00:10:00,34.89,5
00:10:00,00:15:00,35.25,13
00:15:00,00:20:00,30.63,6
00:20:00,00:25:00,29.77,8
00:25:00,00:30:00,25.71,3
00:30:00,00:35:00,48.88,5
00:35:00,00:40:00,25.48,4
00:40:00,00:45:00,31.11,7
00:45:00,00:50:00,39.55,3
00:50:00,00:55:00,30.43,5
00:55:00,01:00:00,55.79,2
01:00:00,01:05:00,14.23,8
01:05:00,01:10:00,46.62,4
01:10:00,01:15:00,34.16,7
01:15:00,01:20:00,32.35,8
01:20:00,01:25:00,30.98,8
01:25:00,01:30:00,23.52,4
01:30:00,01:35:00,46.81,3
01:35:00,01:40:00,35.65,3
01:40:00,01:45:00,27.99,7
01:45:00,01:50:00,20.07,5
01:50:00,01:55:00,23.73,7
01:55:00,02:00:00,37.9,6
02:00:00,02:05:00,22.37,9
02:05:00,02:10:00,20.12,1
02:10:00,02:15:00,19.55,4
02:15:00,02:20:00,30.27,5
02:20:00,02:25:00,23.34,5
02:25:00,02:30:00,17.86,6
02:30:00,02:35:00,24.25,6
02:35:00,02:40:00,37.67,4
02:40:00,02:45:00,30.96,5
02:45:00,02:50:00,43.25,7
02:50:00,02:55:00,31.33,7
02:55:00,03:00:00,29.55,3
03:05:00,03:10:00,48.84,5
03:10:00,03:15:00,9.05,2
03:15:00,03:20:00,29.21,6
03:20:00,03:25:00,11.43,4
03:25:00,03:30:00,33.45,3
03:30:00,03:35:00,24.17,3
03:35:00,03:40:00,23.97,5
03:40:00,03:45:00,29.57,4
03:45:00,03:50:00,41.91,6
03:50:00,03:55:00,45.95,4
03:55:00,04:00:00,22.8,3
04:00:00,04:05:00,28.73,5
04:05:00,04:10:00,15.57,6
04:10:00,04:15:00,25.14,6
04:15:00,04:20:00,41.95,5
04:20:00,04:25:00,30.31,8
04:25:00,04:30:00,33.98,8
04:30:00,04:35:00,26.93,5
04:35:00,04:40:00,38.01,7
04:40:00,04:45:00,28.43,8
04:45:00,04:50:00,33.61,9
04:50:00,04:55:00,33.78,4
04:55:00,05:00:00,28.12,8
05:00:00,05:05:00,22.01,8
05:05:00,05:10:00,19.35,6
05:10:00,05:15:00,22.52,7
05:15:00,05:20:00,14.34,7
05:20:00,05:25:00,27.83,8
05:25:00,05:30:00,33.88,8
05:30:00,05:35:00,21.71,6
05:35:00,05:40:00,28.91,9
05:40:00,05:45:00,22.92,9
05:45:00,05:50:00,40.42,10
05:50:00,05:55:00,37.8,9
05:55:00,06:00:00,29.64,9
06:00:00,06:05:00,17.46,11
06:05:00,06:10:00,20.41,7
06:10:00,06:15:00,32.43,12
06:15:00,06:20:00,25.09,10
06:20:00,06:25:00,32.87,10
06:25:00,06:30:00,15.48,8
06:30:00,06:35:00,22.58,4
06:35:00,06:40:00,25.86,11
06:40:00,06:45:00,23.02,8
06:45:00,06:50:00,11.87,5
06:50:00,06:55:00,12.16,14
06:55:00,07:00:00,17.81,6
07:00:00,07:05:00,31.6,8
07:05:00,07:10:00,26.66,12
07:10:00,07:15:00,25.85,11
07:15:00,07:20:00,14.01,5
07:20:00,07:25:00,22.22,6
07:25:00,07:30:00,15.5,12
07:30:00,07:35:00,25.29,14
07:35:00,07:40:00,22.59,12
07:40:00,07:45:00,18.96,13
07:45:00,07:50:00,17.29,11
07:50:00,07:55:00,17.57,9
07:55:00,08:00:00,24.14,6
08:00:00,08:05:00,13.3,12
08:05:00,08:10:00,25.2,9
08:10:00,08:15:00,32.39,6
08:15:00,08:20:00,22.56,15
08:20:00,08:25:00,16.48,12
08:25:00,08:30:00,27.02,12
08:30:00,08:35:00,11.31,5
08:35:00,08:40:00,18.13,19
08:40:00,08:45:00,12.3,11
08:45:00,08:50:00,15.75,7
08:50:00,08:55:00,22.65,9
08:55:00,09:00:00,17.54,6
09:00:00,09:05:00,16.71,7
09:05:00,09:10:00,29.27,12
09:10:00,09:15:00,17.17,12
09:15:00,09:20:00,21.48,17
09:20:00,09:25:00,22.65,12
