FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,31.68,15
00:00:00,00:05:00,36.72,7
00:05:00,00:10:00,37.57,5
00:10:00,00:15:00,29.5,6
00:15:00,00:20:00,25.63,13
00:20:00,00:25:00,37.72,9
00:25:00,00:30:00,31.54,9
00:30:00,00:35:00,37.21,5
00:35:00,00:40:00,36.95,5
00:40:00,00:45:00,39.32,14
00:45:00,00:50:00,36.43,11
00:50:00,00:55:00,34.54,7
00:55:00,01:00:00,40.08,9
01:00:00,01:05:00,33.78,5
01:05:00,01:10:00,26.14,10
01:10:00,01:15:00,42.28,7
01:15:00,01:20:00,15.72,6
01:20:00,01:25:00,34.21,6
01:25:00,01:30:00,41.8,3
01:30:00,01:35:00,33.59,4
01:35:00,01:40:00,15.09,3
01:40:00,01:45:00,33.64,9
01:45:00,01:50:00,27.82,9
01:50:00,01:55:00,33.33,9
01:55:00,02:00:00,30.96,6
02:00:00,02:05:00,40.26,6
02:05:00,02:10:00,32.61,9
02:10:00,02:15:00,29.53,6
02:15:00,02:20:00,24.17,3
02:20:00,02:25:00,31.01,12
02:25:00,02:30:00,21.82,7
02:30:00,02:35:00,32.34,9
02:35:00,02:40:00,27.55,4
02:40:00,02:45:00,37.92,6
02:45:00,02:50:00,27.86,7
02:50:00,02:55:00,35.58,9
02:55:00,03:00:00,33.66,8
03:00:00,03:05:00,48.86,1
03:05:00,03:10:00,22.08,6
03:10:00,03:15:00,41.09,3
03:15:00,03:20:00,42.67,2
03:20:00,03:25:00,31.66,8
03:25:00,03:30:00,36.45,9
03:30:00,03:35:00,34.27,6
03:35:00,03:40:00,26.03,3
03:40:00,03:45:00,23.53,5
03:45:00,03:50:00,32.19,8
03:50:00,03:55:00,38.58,11
03:55:00,04:00:00,32.01,6
04:00:00,04:05:00,16.89,5
04:05:00,04:10:00,32.19,6
04:10:00,04:15:00,55.52,2
04:15:00,04:20:00,23.96,10
04:20:00,04:25:00,21.3,6
04:25:00,04:30:00,38.56,2
04:30:00,04:35:00,33.22,11
04:35:00,04:40:00,38.2,8
04:40:00,04:45:00,32.71,4
04:45:00,04:50:00,24.85,7
04:50:00,04:55:00,27.89,6
04:55:00,05:00:00,26.21,10
05:00:00,05:05:00,26.35,5
05:05:00,05:10:00,28.06,7
05:10:00,05:15:00,29.14,8
05:15:00,05:20:00,18.38,3
05:20:00,05:25:00,20.08,6
05:25:00,05:30:00,27.95,13
05:30:00,05:35:00,21.75,8
05:35:00,05:40:00,29.13,13
05:40:00,05:45:00,31.79,6
05:45:00,05:50:00,25.86,6
05:50:00,05:55:00,27.72,11
05:55:00,06:00:00,22.3,8
06:00:00,06:05:00,28.29,7
06:05:00,06:10:00,10.54,5
06:10:00,06:15:00,26.35,7
06:15:00,06:20:00,23.9,9
06:20:00,06:25:00,20.29,8
06:25:00,06:30:00,22.06,3
06:30:00,06:35:00,19.92,4
06:35:00,06:40:00,23.68,9
06:40:00,06:45:00,25.96,10
06:45:00,06:50:00,19.59,15
06:50:00,06:55:00,28.84,10
06:55:00,07:00:00,25.72,9
07:00:00,07:05:00,18.77,9
07:05:00,07:10:00,12.36,11
07:10:00,07:15:00,18.89,19
07:15:00,07:20:00,15.59,13
07:20:00,07:25:00,23.17,11
07:25:00,07:30:00,13.46,7
07:30:00,07:35:00,12.52,12
07:35:00,07:40:00,19.9,8
07:40:00,07:45:00,19.34,13
07:45:00,07:50:00,16.67,11
07:50:00,07:55:00,18.73,11
07:55:00,08:00:00,11.38,8
08:00:00,08:05:00,7.75,11
08:05:00,08:10:00,16.22,10
08:10:00,08:15:00,22.57,13
08:15:00,08:20:00,20.42,12
08:20:00,08:25:00,15.99,15
08:25:00,08:30:00,23.46,12
08:30:00,08:35:00,12.58,16
08:35:00,08:40:00,17.09,10
08:40:00,08:45:00,17.83,25
08:45:00,08:50:00,25.91,11
08:50:00,08:55:00,24.5,10
08:55:00,09:00:00,13.89,8
09:00:00,09:05:00,21.79,18
09:05:00,09:10:00,24.23,14
09:10:00,09:15:00,15.61,9
09:15:00,09:20:00,22.62,16
09:20:00,09:25:00,17.72,15
09:25:00,09:30:00,24.03,16
09:30:00,09:35:00,22.96,22
09:35:00,09:40:00,14.01,14
09:40:00,09:45:00,19.95,11
09:45:00,09:50:00,20.5,15
09:50:00,09:55:00,22.93,9
09:55:00,10:00:00,23.25,9
10:00:00,10:05:00,19.9,16
10:05:00,10:10:00,20.39,16
10:10:00,10:15:00,19.78,19
10:15:00,10:20:00,20.62,11
10:20:00,10:25:00,25.86,19
10:25:00,10:30:00,18.22,21
10:30:00,10:35:00,29.95,17
10:35:00,10:40:00,15.66,14
10:40:00,10:45:00,14.04,14
10:45:00,10:50:00,25.26,12
10:50:00,10:55:00,27.22,11
10:55:00,11:00:00,16.02,20
11:00:00,11:05:00,21.89,13
11:05:00,11:10:00,16.14,6
11:10:00,11:15:00,9.95,16
11:15:00,11:20:00,19.07,15
