FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,32.82,9
00:00:00,00:05:00,34.73,6
00:05:00,00:10:00,42.25,4
00:10:00,00:15:00,31.75,6
00:15:00,00:20:00,29.93,10
00:20:00,00:25:00,24.48,12
00:25:00,00:30:00,29.01,12
00:30:00,00:35:00,35.82,12
00:35:00,00:40:00,29.2,14
00:40:00,00:45:00,37.37,7
00:45:00,00:50:00,30.6,7
00:50:00,00:55:00,21.51,1
00:55:00,01:00:00,27.59,8
01:00:00,01:05:00,33.19,14
01:05:00,01:10:00,28.97,10
01:10:00,01:15:00,38.18,10
01:15:00,01:20:00,36.88,14
01:20:00,01:25:00,33.24,8
01:25:00,01:30:00,30.08,9
01:30:00,01:35:00,31.53,5
01:35:00,01:40:00,27.81,12
01:40:00,01:45:00,35.58,5
01:45:00,01:50:00,35.23,6
01:50:00,01:55:00,38.3,11
01:55:00,02:00:00,27.6,2
02:00:00,02:05:00,26.86,8
02:05:00,02:10:00,28.54,9
02:10:00,02:15:00,32.41,7
02:15:00,02:20:00,30.94,15
02:20:00,02:25:00,39.73,3
02:25:00,02:30:00,31.86,11
02:30:00,02:35:00,45.01,4
02:35:00,02:40:00,49.19,3
02:40:00,02:45:00,28.91,6
02:45:00,02:50:00,22.51,4
02:50:00,02:55:00,27.97,12
02:55:00,03:00:00,28.84,6
03:00:00,03:05:00,25.68,2
03:05:00,03:10:00,34.87,7
03:10:00,03:15:00,20.37,5
03:15:00,03:20:00,31.15,6
03:20:00,03:25:00,43.15,5
03:25:00,03:30:00,26.03,7
03:30:00,03:35:00,22.07,9
03:35:00,03:40:00,21.87,7
03:40:00,03:45:00,39.88,5
03:45:00,03:50:00,30.05,9
03:50:00,03:55:00,29.73,5
03:55:00,04:00:00,43.1,11
04:00:00,04:05:00,26.04,5
04:05:00,04:10:00,29.44,4
04:10:00,04:15:00,26.78,6
04:15:00,04:20:00,19.51,3
04:20:00,04:25:00,45.37,7
04:25:00,04:30:00,31.81,6
04:30:00,04:35:00,31.87,8
04:35:00,04:40:00,27.07,12
04:40:00,04:45:00,33.1,6
04:45:00,04:50:00,21.25,14
04:50:00,04:55:00,30.17,8
04:55:00,05:00:00,29.55,12
05:00:00,05:05:00,6.76,4
05:05:00,05:10:00,30.97,10
05:10:00,05:15:00,29.14,7
05:15:00,05:20:00,39.34,3
05:20:00,05:25:00,24.29,4
05:25:00,05:30:00,24.77,12
05:30:00,05:35:00,13.51,7
05:35:00,05:40:00,30.87,4
05:40:00,05:45:00,29.11,10
05:45:00,05:50:00,28.02,6
05:50:00,05:55:00,19.81,5
05:55:00,06:00:00,23.66,6
06:00:00,06:05:00,22.53,6
06:05:00,06:10:00,24.83,9
06:10:00,06:15:00,27.33,8
06:15:00,06:20:00,18.46,6
06:20:00,06:25:00,19.26,4
06:25:00,06:30:00,35.43,8
06:30:00,06:35:00,29.11,7
06:35:00,06:40:00,26.95,13
06:40:00,06:45:00,37.93,11
06:45:00,06:50:00,24.83,7
06:50:00,06:55:00,36.57,8
06:55:00,07:00:00,30.22,13
07:00:00,07:05:00,20.71,6
