FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,26.53,10
00:00:00,00:05:00,23.93,2
00:05:00,00:10:00,22.85,7
00:10:00,00:15:00,37.61,3
00:15:00,00:20:00,25.06,4
00:20:00,00:25:00,23.62,7
00:25:00,00:30:00,18.77,2
00:30:00,00:35:00,26.44,1
00:35:00,00:40:00,23.54,7
00:40:00,00:45:00,25.56,6
00:45:00,00:50:00,26.54,4
00:50:00,00:55:00,24.52,4
00:55:00,01:00:00,28.91,2
01:00:00,01:05:00,12.18,3
01:05:00,01:10:00,26.85,5
01:10:00,01:15:00,20.41,4
01:15:00,01:20:00,28.2,1
01:20:00,01:25:00,11.43,1
01:25:00,01:30:00,24.11,6
01:30:00,01:35:00,24.17,1
01:35:00,01:40:00,10.36,2
01:40:00,01:45:00,23.7,5
01:45:00,01:50:00,28.86,3
01:50:00,01:55:00,20.37,3
01:55:00,02:00:00,17.01,2
02:00:00,02:05:00,36.78,1
02:05:00,02:10:00,22.99,4
02:10:00,02:15:00,25.82,2
02:15:00,02:20:00,21.26,4
02:20:00,02:25:00,18.69,2
02:25:00,02:30:00,14.97,1
02:35:00,02:40:00,31.21,4
02:40:00,02:45:00,24.25,4
02:45:00,02:50:00,26.33,5
02:50:00,02:55:00,13.98,3
02:55:00,03:00:00,26.03,2
03:00:00,03:05:00,20.14,1
03:05:00,03:10:00,24.9,2
03:10:00,03:15:00,28.4,2
03:15:00,03:20:00,29.68,1
03:20:00,03:25:00,24.89,4
03:25:00,03:30:00,31.33,1
03:30:00,03:35:00,1.04,2
03:35:00,03:40:00,17.07,2
03:40:00,03:45:00,30.3,2
03:45:00,03:50:00,13.03,2
03:50:00,03:55:00,18.97,2
03:55:00,04:00:00,21.67,4
04:00:00,04:05:00,22.13,6
04:05:00,04:10:00,18.45,4
04:10:00,04:15:00,26.02,6
04:15:00,04:20:00,43.38,1
04:20:00,04:25:00,22.26,1
04:25:00,04:30:00,42.3,1
04:30:00,04:35:00,32.3,2
04:35:00,04:40:00,21.55,6
04:40:00,04:45:00,21.81,2
04:45:00,04:50:00,26.4,3
04:50:00,04:55:00,14.98,4
04:55:00,05:00:00,20.28,7
05:00:00,05:05:00,15.59,4
05:05:00,05:10:00,35.25,1
05:10:00,05:15:00,28.42,5
05:15:00,05:20:00,21.59,10
05:20:00,05:25:00,16.35,4
05:25:00,05:30:00,21.62,9
05:30:00,05:35:00,40.29,1
05:35:00,05:40:00,26.2,6
05:40:00,05:45:00,16.92,8
05:45:00,05:50:00,33.9,3
05:50:00,05:55:00,21.09,13
05:55:00,06:00:00,24.95,8
06:00:00,06:05:00,24.76,14
06:05:00,06:10:00,24.9,14
06:10:00,06:15:00,17.1,15
06:15:00,06:20:00,16.61,16
06:20:00,06:25:00,18.5,9
06:25:00,06:30:00,21.31,17
06:30:00,06:35:00,21.25,12
06:35:00,06:40:00,19.23,25
06:40:00,06:45:00,16.27,15
06:45:00,06:50:00,13.46,17
06:50:00,06:55:00,15.62,17
06:55:00,07:00:00,11.88,21
07:00:00,07:05:00,10.77,15
07:05:00,07:10:00,14.96,14
07:10:00,07:15:00,13.93,7
07:15:00,07:20:00,10.07,10
07:20:00,07:25:00,10.77,16
07:25:00,07:30:00,12.95,22
07:30:00,07:35:00,11.81,12
07:35:00,07:40:00,8.61,11
07:40:00,07:45:00,5.62,10
07:45:00,07:50:00,10.38,8
07:50:00,07:55:00,8.04,16
07:55:00,08:00:00,5.64,6
08:00:00,08:05:00,6.06,17
08:05:00,08:10:00,6.58,13
08:10:00,08:15:00,6.82,8
08:15:00,08:20:00,8.06,15
08:20:00,08:25:00,7.62,16
08:25:00,08:30:00,10.92,15
08:30:00,08:35:00,12.21,10
08:35:00,08:40:00,10.07,7
08:40:00,08:45:00,7.73,17
08:45:00,08:50:00,12.88,11
08:50:00,08:55:00,13.96,10
08:55:00,09:00:00,11.36,15
09:00:00,09:05:00,10.8,13
09:05:00,09:10:00,7.51,15
09:10:00,09:15:00,9.61,13
09:15:00,09:20:00,10.65,14
09:20:00,09:25:00,9.96,15
09:25:00,09:30:00,7.95,9
09:30:00,09:35:00,11.73,14
09:35:00,09:40:00,14.19,4
09:40:00,09:45:00,10.89,17
09:45:00,09:50:00,12.67,9
09:50:00,09:55:00,9.83,10
09:55:00,10:00:00,6.42,14
10:00:00,10:05:00,6.9,5
10:05:00,10:10:00,5.01,17
10:10:00,10:15:00,12.93,8
10:15:00,10:20:00,7.54,17
10:20:00,10:25:00,6.51,6
10:25:00,10:30:00,14.61,13
10:30:00,10:35:00,13.94,14
10:35:00,10:40:00,15.49,7
10:40:00,10:45:00,16.63,12
10:45:00,10:50:00,16.56,15
10:50:00,10:55:00,9.32,18
10:55:00,11:00:00,17.43,14
11:00:00,11:05:00,9.98,10
11:05:00,11:10:00,13.24,12
11:10:00,11:15:00,7.09,9
11:15:00,11:20:00,7.08,21
11:20:00,11:25:00,9.69,9
11:25:00,11:30:00,12.17,16
11:30:00,11:35:00,11.41,14
11:35:00,11:40:00,8.59,15
11:40:00,11:45:00,9.48,12
11:45:00,11:50:00,12.63,15
11:50:00,11:55:00,15.43,16
11:55:00,12:00:00,7.97,16
12:00:00,12:05:00,11.26,17
12:05:00,12:10:00,15.69,14
12:10:00,12:15:00,18.05,10
12:15:00,12:20:00,15.48,16
12:20:00,12:25:00,19.38,6
12:25:00,12:30:00,15.2,15
12:30:00,12:35:00,15.11,16
12:35:00,12:40:00,7.21,10
12:40:00,12:45:00,15.45,7
12:45:00,12:50:00,5.81,13
12:50:00,12:55:00,7.44,9
12:55:00,13:00:00,6.67,21
13:00:00,13:05:00,7.82,12
13:05:00,13:10:00,6.98,10
13:10:00,13:15:00,5.83,19
13:15:00,13:20:00,8.39,4
13:20:00,13:25:00,8.79,15
13:25:00,13:30:00,5.7,15
13:30:00,13:35:00,3.47,11
13:35:00,13:40:00,5.7,6
13:40:00,13:45:00,3.26,8
13:45:00,13:50:00,4.63,20
13:50:00,13:55:00,3.62,10
13:55:00,14:00:00,4.28,15
14:00:00,14:05:00,4.53,9
14:05:00,14:10:00,7.33,17
14:10:00,14:15:00,9.29,12
14:15:00,14:20:00,14.55,16
14:20:00,14:25:00,10.29,7
14:25:00,14:30:00,8.21,10
14:30:00,14:35:00,7.38,18
14:35:00,14:40:00,8.91,17
14:40:00,14:45:00,14.79,9
14:45:00,14:50:00,6.34,7
14:50:00,14:55:00,11.86,13
14:55:00,15:00:00,6.66,10
15:00:00,15:05:00,7.82,11
15:05:00,15:10:00,8.48,10
15:10:00,15:15:00,9.72,10
15:15:00,15:20:00,6.3,18
15:20:00,15:25:00,9.1,23
15:25:00,15:30:00,7.81,10
15:30:00,15:35:00,9.98,16
15:35:00,15:40:00,11.27,6
15:40:00,15:45:00,9.71,27
15:45:00,15:50:00,18.64,11
15:50:00,15:55:00,14.73,12
15:55:00,16:00:00,11.7,18
16:00:00,16:05:00,16.64,4
16:05:00,16:10:00,9.2,12
16:10:00,16:15:00,13.63,22
16:15:00,16:20:00,14.47,15
16:20:00,16:25:00,15.59,15
16:25:00,16:30:00,7.77,9
16:30:00,16:35:00,8.64,16
16:35:00,16:40:00,9.39,19
16:40:00,16:45:00,10.53,20
16:45:00,16:50:00,14.48,12
16:50:00,16:55:00,15.75,17
16:55:00,17:00:00,8.5,18
17:00:00,17:05:00,9.3,14
17:05:00,17:10:00,9.39,22
17:10:00,17:15:00,16.56,15
17:15:00,17:20:00,7.26,14
17:20:00,17:25:00,11.22,14
17:25:00,17:30:00,7.05,13
17:30:00,17:35:00,8.38,13
17:35:00,17:40:00,4.86,11
17:40:00,17:45:00,5.88,19
17:45:00,17:50:00,10.06,22
17:50:00,17:55:00,8.21,10
17:55:00,18:00:00,8.33,17
18:00:00,18:05:00,10.81,12
18:05:00,18:10:00,7.42,21
18:10:00,18:15:00,5.48,10
18:15:00,18:20:00,9.73,16
18:20:00,18:25:00,4.63,15
18:25:00,18:30:00,9.33,16
18:30:00,18:35:00,10.57,11
18:35:00,18:40:00,13.47,14
18:40:00,18:45:00,5.2,6
18:45:00,18:50:00,11.34,17
18:50:00,18:55:00,6.75,17
18:55:00,19:00:00,12.67,12
19:00:00,19:05:00,11.67,15
19:05:00,19:10:00,9.76,9
19:10:00,19:15:00,12.21,13
19:15:00,19:20:00,22.45,8
19:20:00,19:25:00,13.03,27
19:25:00,19:30:00,12.02,10
19:30:00,19:35:00,12,8
19:35:00,19:40:00,10.76,22
19:40:00,19:45:00,15.42,4
19:45:00,19:50:00,9.54,12
19:50:00,19:55:00,13.68,13
19:55:00,20:00:00,12.42,12
20:00:00,20:05:00,11.32,21
20:05:00,20:10:00,10.1,10
20:10:00,20:15:00,16.82,9
20:15:00,20:20:00,9.61,15
20:20:00,20:25:00,18.18,12
20:25:00,20:30:00,15.78,11
20:30:00,20:35:00,16.23,22
20:35:00,20:40:00,10.61,16
20:40:00,20:45:00,15.86,5
20:45:00,20:50:00,12.05,19
20:50:00,20:55:00,19.25,6
20:55:00,21:00:00,13.74,15
21:00:00,21:05:00,17.33,8
21:05:00,21:10:00,6.1,10
21:10:00,21:15:00,7.14,23
21:15:00,21:20:00,4.31,10
21:20:00,21:25:00,5.09,18
21:25:00,21:30:00,5.2,7
21:30:00,21:35:00,5.56,10
21:35:00,21:40:00,5.82,16
21:40:00,21:45:00,10.66,8
21:45:00,21:50:00,5.39,10
21:50:00,21:55:00,9.51,9
21:55:00,22:00:00,7.33,15
22:00:00,22:05:00,8.49,11
22:05:00,22:10:00,11.9,13
22:10:00,22:15:00,7.07,4
22:15:00,22:20:00,13.68,8
22:20:00,22:25:00,16.32,9
22:25:00,22:30:00,30.77,7
22:30:00,22:35:00,16.68,6
22:35:00,22:40:00,19.23,4
22:40:00,22:45:00,21.38,9
22:45:00,22:50:00,22.36,12
22:50:00,22:55:00,14.87,9
22:55:00,23:00:00,18.5,9
23:00:00,23:05:00,11.83,1
23:05:00,23:10:00,16.65,9
23:10:00,23:15:00,20.62,10
23:15:00,23:20:00,24.76,6
23:20:00,23:25:00,26.46,4
23:25:00,23:30:00,17.11,3
23:30:00,23:35:00,23.79,4
23:35:00,23:40:00,24.01,4
23:40:00,23:45:00,34.23,4
23:45:00,23:50:00,25.64,8
23:50:00,23:55:00,13.94,4
