FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,20.53,7
00:00:00,00:05:00,22.26,1
00:10:00,00:15:00,28.88,6
00:15:00,00:20:00,21.1,7
00:20:00,00:25:00,24.28,9
00:25:00,00:30:00,25.67,5
00:30:00,00:35:00,27.77,4
00:35:00,00:40:00,16.44,3
00:40:00,00:45:00,18.54,5
00:45:00,00:50:00,24.53,5
00:50:00,00:55:00,34.63,4
00:55:00,01:00:00,28.49,6
01:00:00,01:05:00,27.52,4
01:05:00,01:10:00,27.4,2
01:10:00,01:15:00,25.79,7
01:15:00,01:20:00,28.15,3
01:20:00,01:25:00,2.51,2
01:25:00,01:30:00,28.46,4
01:30:00,01:35:00,24.34,5
01:35:00,01:40:00,11.89,4
01:40:00,01:45:00,23.66,2
01:45:00,01:50:00,39.03,2
01:50:00,01:55:00,1.53,1
01:55:00,02:00:00,14.58,4
02:00:00,02:05:00,15.81,1
02:05:00,02:10:00,31.73,2
02:10:00,02:15:00,23.44,2
02:15:00,02:20:00,16.9,3
02:20:00,02:25:00,13.43,1
02:25:00,02:30:00,21.69,1
02:30:00,02:35:00,35.05,4
02:35:00,02:40:00,26.51,2
02:40:00,02:45:00,22.06,5
02:45:00,02:50:00,21.14,5
02:50:00,02:55:00,26.99,9
02:55:00,03:00:00,24.02,5
03:00:00,03:05:00,27.29,1
03:05:00,03:10:00,25.85,9
03:10:00,03:15:00,16.26,5
03:15:00,03:20:00,37.07,2
03:20:00,03:25:00,22.22,2
03:25:00,03:30:00,17.64,3
03:30:00,03:35:00,30.22,5
03:35:00,03:40:00,24.4,2
03:40:00,03:45:00,27.55,3
03:45:00,03:50:00,23.55,2
03:50:00,03:55:00,16.78,5
04:05:00,04:10:00,32.68,7
04:10:00,04:15:00,26.03,1
04:15:00,04:20:00,27.74,1
04:20:00,04:25:00,28.41,4
04:25:00,04:30:00,17.48,2
04:30:00,04:35:00,25.05,2
04:35:00,04:40:00,17.17,2
04:40:00,04:45:00,21.13,6
04:45:00,04:50:00,45.73,1
04:50:00,04:55:00,15.38,1
04:55:00,05:00:00,22.47,4
05:00:00,05:05:00,17.74,7
05:05:00,05:10:00,16.16,2
05:10:00,05:15:00,21.94,8
05:15:00,05:20:00,37.35,4
05:20:00,05:25:00,24.96,2
05:25:00,05:30:00,24.69,10
05:30:00,05:35:00,30.84,5
05:35:00,05:40:00,27.69,2
05:40:00,05:45:00,21.41,6
05:45:00,05:50:00,17.89,8
05:50:00,05:55:00,14.5,9
05:55:00,06:00:00,19.19,10
06:00:00,06:05:00,19.93,11
06:05:00,06:10:00,18.6,14
06:10:00,06:15:00,18.9,16
06:15:00,06:20:00,15.89,16
06:20:00,06:25:00,14.28,8
06:25:00,06:30:00,16.77,13
06:30:00,06:35:00,18.44,14
06:35:00,06:40:00,18.24,20
06:40:00,06:45:00,14.44,18
06:45:00,06:50:00,11.4,13
06:50:00,06:55:00,8.39,18
06:55:00,07:00:00,12.07,19
07:00:00,07:05:00,16.21,23
07:05:00,07:10:00,16.91,21
07:10:00,07:15:00,12.32,11
07:15:00,07:20:00,14.54,15
07:20:00,07:25:00,10.19,16
