FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,16.5,4
00:00:00,00:05:00,36.75,3
00:05:00,00:10:00,24.22,2
00:10:00,00:15:00,23,10
00:15:00,00:20:00,35.29,6
00:20:00,00:25:00,33.64,5
00:25:00,00:30:00,21.02,7
00:30:00,00:35:00,17.69,5
00:35:00,00:40:00,35.36,5
00:45:00,00:50:00,31.51,11
00:50:00,00:55:00,19.05,3
00:55:00,01:00:00,14.59,1
01:00:00,01:05:00,27.26,3
01:05:00,01:10:00,19.14,3
01:10:00,01:15:00,22.7,6
01:15:00,01:20:00,18.55,5
01:20:00,01:25:00,14.68,2
01:25:00,01:30:00,40.53,6
01:30:00,01:35:00,27.29,1
01:35:00,01:40:00,31.26,2
01:40:00,01:45:00,31.09,5
01:45:00,01:50:00,19.51,2
01:50:00,01:55:00,18.39,1
01:55:00,02:00:00,22.01,2
02:00:00,02:05:00,33.72,4
02:05:00,02:10:00,24.74,3
02:10:00,02:15:00,24.78,7
02:15:00,02:20:00,25.25,3
02:20:00,02:25:00,41.4,3
02:25:00,02:30:00,16.11,1
02:30:00,02:35:00,30.45,3
02:35:00,02:40:00,14.45,2
02:40:00,02:45:00,29.01,3
02:45:00,02:50:00,21.24,2
02:50:00,02:55:00,30.5,8
02:55:00,03:00:00,34.48,2
03:00:00,03:05:00,0.4,1
03:05:00,03:10:00,35.75,7
03:10:00,03:15:00,22.45,4
03:15:00,03:20:00,24.67,2
03:20:00,03:25:00,31.63,2
03:25:00,03:30:00,31.48,3
03:30:00,03:35:00,21.77,4
03:35:00,03:40:00,20.04,2
03:40:00,03:45:00,22.32,4
03:45:00,03:50:00,34.73,2
03:55:00,04:00:00,17.21,4
04:00:00,04:05:00,24.13,9
04:05:00,04:10:00,19.27,4
04:10:00,04:15:00,41.37,2
04:15:00,04:20:00,34.35,7
04:20:00,04:25:00,40.76,2
04:30:00,04:35:00,25.62,2
04:35:00,04:40:00,28.43,3
04:45:00,04:50:00,24.52,1
04:50:00,04:55:00,20.96,5
04:55:00,05:00:00,27.15,4
05:00:00,05:05:00,28.02,4
05:05:00,05:10:00,30.53,5
05:10:00,05:15:00,13.31,5
05:15:00,05:20:00,23.31,6
05:20:00,05:25:00,16.07,6
05:25:00,05:30:00,24.85,5
05:30:00,05:35:00,27.76,6
