FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,22.85,4
00:00:00,00:05:00,19.89,2
00:05:00,00:10:00,17.81,1
00:10:00,00:15:00,24.18,5
00:15:00,00:20:00,18.3,2
00:20:00,00:25:00,25.36,3
00:25:00,00:30:00,26.92,5
00:35:00,00:40:00,29.26,5
00:40:00,00:45:00,23.13,5
00:45:00,00:50:00,21.69,1
00:50:00,00:55:00,1.94,1
00:55:00,01:00:00,25.18,3
01:00:00,01:05:00,32.03,2
01:05:00,01:10:00,38.45,1
01:10:00,01:15:00,28.49,3
01:15:00,01:20:00,26.64,4
01:20:00,01:25:00,31.47,7
01:25:00,01:30:00,23.5,1
01:30:00,01:35:00,22.14,6
01:35:00,01:40:00,48.34,1
01:40:00,01:45:00,22.26,1
01:45:00,01:50:00,25.95,7
01:50:00,01:55:00,26.08,3
01:55:00,02:00:00,30.17,3
02:00:00,02:05:00,22.99,6
02:05:00,02:10:00,16.22,3
02:10:00,02:15:00,32.04,2
02:15:00,02:20:00,36.78,1
02:20:00,02:25:00,1.92,2
02:25:00,02:30:00,24.22,7
02:30:00,02:35:00,20.02,3
02:35:00,02:40:00,24.88,1
02:40:00,02:45:00,30.75,5
02:45:00,02:50:00,29.49,3
02:50:00,02:55:00,29.84,3
02:55:00,03:00:00,21.95,2
03:00:00,03:05:00,24.35,2
03:05:00,03:10:00,37.84,4
03:10:00,03:15:00,31.27,2
03:15:00,03:20:00,21.91,2
03:20:00,03:25:00,16.3,3
03:25:00,03:30:00,32.32,3
03:30:00,03:35:00,14.72,2
03:35:00,03:40:00,34.49,2
03:40:00,03:45:00,24.07,3
03:50:00,03:55:00,6.47,3
03:55:00,04:00:00,20.14,1
04:00:00,04:05:00,22.07,2
04:05:00,04:10:00,34.81,4
04:10:00,04:15:00,31.34,2
04:20:00,04:25:00,26.37,2
04:25:00,04:30:00,15.39,2
04:30:00,04:35:00,25.44,4
04:35:00,04:40:00,21.69,1
04:40:00,04:45:00,27.94,4
04:45:00,04:50:00,25.23,5
04:50:00,04:55:00,35.25,1
04:55:00,05:00:00,25.39,5
05:00:00,05:05:00,30.77,6
05:05:00,05:10:00,23.36,3
05:10:00,05:15:00,26.61,8
05:15:00,05:20:00,16.45,3
05:20:00,05:25:00,21.71,5
05:25:00,05:30:00,19.57,15
05:30:00,05:35:00,24.6,7
05:35:00,05:40:00,14.07,6
05:40:00,05:45:00,19.59,6
05:45:00,05:50:00,21.5,6
05:50:00,05:55:00,20.61,6
05:55:00,06:00:00,24.56,13
06:00:00,06:05:00,20.12,8
06:05:00,06:10:00,20.98,17
06:10:00,06:15:00,15.41,6
06:15:00,06:20:00,12.58,15
06:20:00,06:25:00,14.35,17
06:25:00,06:30:00,13.93,14
06:30:00,06:35:00,10.09,14
06:35:00,06:40:00,6.72,13
06:40:00,06:45:00,5.5,18
06:45:00,06:50:00,5.23,8
06:50:00,06:55:00,6.69,25
06:55:00,07:00:00,9.68,18
07:00:00,07:05:00,17.03,14
07:05:00,07:10:00,14.96,8
07:10:00,07:15:00,19.28,23
07:15:00,07:20:00,18.52,15
07:20:00,07:25:00,14.55,10
07:25:00,07:30:00,9.68,14
07:30:00,07:35:00,12.44,14
07:35:00,07:40:00,10.1,11
07:40:00,07:45:00,9.31,9
07:45:00,07:50:00,5.62,4
07:50:00,07:55:00,6.96,7
07:55:00,08:00:00,6.93,11
08:00:00,08:05:00,12.31,11
08:05:00,08:10:00,12.23,11
08:10:00,08:15:00,10.15,15
08:15:00,08:20:00,7.63,14
08:20:00,08:25:00,12.21,11
08:25:00,08:30:00,15.43,7
08:30:00,08:35:00,10.64,10
08:35:00,08:40:00,6.61,8
08:40:00,08:45:00,6.69,16
08:45:00,08:50:00,10.31,15
08:50:00,08:55:00,13,9
08:55:00,09:00:00,10.61,11
09:00:00,09:05:00,13.84,9
09:05:00,09:10:00,11.05,12
09:10:00,09:15:00,15.08,22
09:15:00,09:20:00,16.54,9
09:20:00,09:25:00,17.63,18
09:25:00,09:30:00,11.63,16
09:30:00,09:35:00,13.36,13
09:35:00,09:40:00,9.66,7
09:40:00,09:45:00,4.26,7
09:45:00,09:50:00,8.49,15
09:50:00,09:55:00,5.31,12
09:55:00,10:00:00,12.52,15
10:00:00,10:05:00,21.93,10
10:05:00,10:10:00,13.56,6
10:10:00,10:15:00,18.44,5
10:15:00,10:20:00,17.31,13
10:20:00,10:25:00,14.58,8
10:25:00,10:30:00,15.78,13
10:30:00,10:35:00,10.48,11
10:35:00,10:40:00,11.2,11
10:40:00,10:45:00,13.96,9
10:45:00,10:50:00,4.81,6
10:50:00,10:55:00,11.66,10
10:55:00,11:00:00,17.19,11
11:00:00,11:05:00,11.78,8
11:05:00,11:10:00,8.5,19
11:10:00,11:15:00,15.86,10
11:15:00,11:20:00,16.07,8
11:20:00,11:25:00,17.54,11
11:25:00,11:30:00,16.37,14
11:30:00,11:35:00,14.69,10
11:35:00,11:40:00,16.93,13
11:40:00,11:45:00,15.19,12
11:45:00,11:50:00,9.73,8
11:50:00,11:55:00,7.06,15
11:55:00,12:00:00,7.61,10
12:00:00,12:05:00,5.13,24
12:05:00,12:10:00,6.59,5
12:10:00,12:15:00,7.09,12
12:15:00,12:20:00,10.33,12
12:20:00,12:25:00,9.7,13
12:25:00,12:30:00,11.48,5
12:30:00,12:35:00,11.43,13
12:35:00,12:40:00,11.34,8
12:40:00,12:45:00,18.07,15
12:45:00,12:50:00,8.23,12
12:50:00,12:55:00,9.49,10
12:55:00,13:00:00,10.16,3
13:00:00,13:05:00,8.08,12
13:05:00,13:10:00,5.67,10
13:10:00,13:15:00,9.08,10
13:15:00,13:20:00,6.37,12
13:20:00,13:25:00,5.4,15
13:25:00,13:30:00,6.05,17
13:30:00,13:35:00,7.11,9
13:35:00,13:40:00,7.9,11
13:40:00,13:45:00,4.75,8
13:45:00,13:50:00,7.16,6
13:50:00,13:55:00,4.08,15
13:55:00,14:00:00,4.24,18
14:00:00,14:05:00,12.21,10
14:05:00,14:10:00,10.44,9
14:10:00,14:15:00,9.03,20
14:15:00,14:20:00,16.38,13
14:20:00,14:25:00,19.5,14
14:25:00,14:30:00,12.93,17
14:30:00,14:35:00,11.64,13
14:35:00,14:40:00,9.08,10
14:40:00,14:45:00,6.46,13
14:45:00,14:50:00,8.95,11
14:50:00,14:55:00,6.45,7
14:55:00,15:00:00,4.36,11
15:00:00,15:05:00,3.12,9
15:05:00,15:10:00,7.23,15
15:10:00,15:15:00,11.99,19
15:15:00,15:20:00,14.73,15
15:20:00,15:25:00,4.84,4
15:25:00,15:30:00,6.96,10
15:30:00,15:35:00,8.29,12
15:35:00,15:40:00,8.87,10
15:40:00,15:45:00,8.81,11
15:45:00,15:50:00,4.99,15
15:50:00,15:55:00,6.71,14
15:55:00,16:00:00,11.31,21
16:00:00,16:05:00,16.82,17
16:05:00,16:10:00,13.73,9
16:10:00,16:15:00,8.73,10
16:15:00,16:20:00,10.31,12
16:20:00,16:25:00,5.58,20
16:25:00,16:30:00,11.99,7
16:30:00,16:35:00,8.47,9
16:35:00,16:40:00,6.18,10
16:40:00,16:45:00,3.74,6
16:45:00,16:50:00,7.82,16
16:50:00,16:55:00,4.8,10
16:55:00,17:00:00,4.38,13
17:00:00,17:05:00,12.44,25
17:05:00,17:10:00,9.7,15
17:10:00,17:15:00,6.34,25
17:15:00,17:20:00,9.86,17
17:20:00,17:25:00,8.61,22
17:25:00,17:30:00,21.02,15
17:30:00,17:35:00,7.93,7
17:35:00,17:40:00,7.16,18
17:40:00,17:45:00,7.85,19
17:45:00,17:50:00,5.29,24
17:50:00,17:55:00,5.55,12
17:55:00,18:00:00,19.55,18
18:00:00,18:05:00,9.14,15
18:05:00,18:10:00,20.4,10
18:10:00,18:15:00,13.37,18
18:15:00,18:20:00,17.25,15
18:20:00,18:25:00,14.15,25
18:25:00,18:30:00,15.47,24
18:30:00,18:35:00,13.21,8
18:35:00,18:40:00,17.54,10
18:40:00,18:45:00,8.53,11
18:45:00,18:50:00,10.64,15
18:50:00,18:55:00,7.86,11
18:55:00,19:00:00,8.84,22
19:00:00,19:05:00,7.92,17
19:05:00,19:10:00,12,16
19:10:00,19:15:00,11.58,13
19:15:00,19:20:00,15.31,14
19:20:00,19:25:00,14.46,20
19:25:00,19:30:00,12.99,17
19:30:00,19:35:00,16.64,12
19:35:00,19:40:00,10.71,12
19:40:00,19:45:00,11.88,10
19:45:00,19:50:00,13.38,7
19:50:00,19:55:00,14.57,14
19:55:00,20:00:00,10.22,18
20:00:00,20:05:00,16.45,10
20:05:00,20:10:00,13.06,16
20:10:00,20:15:00,8.32,14
20:15:00,20:20:00,14.91,15
20:20:00,20:25:00,13.27,20
20:25:00,20:30:00,16.38,19
20:30:00,20:35:00,12.35,15
20:35:00,20:40:00,11.3,12
20:40:00,20:45:00,11.87,18
20:45:00,20:50:00,14.95,9
