FromTime,ToTime,AverageSpeed,NumberOfVehicle
23:55:00,00:00:00,25.07,4
00:00:00,00:05:00,31.67,2
00:05:00,00:10:00,19.45,1
00:10:00,00:15:00,27.98,2
00:15:00,00:20:00,24.19,5
00:20:00,00:25:00,23.42,9
00:25:00,00:30:00,27.87,4
00:30:00,00:35:00,28.6,3
00:35:00,00:40:00,10.64,1
00:40:00,00:45:00,33.78,5
00:45:00,00:50:00,29.21,2
00:50:00,00:55:00,38.47,3
00:55:00,01:00:00,28.55,5
01:00:00,01:05:00,34.69,5
01:05:00,01:10:00,36.37,5
01:10:00,01:15:00,49.76,1
01:15:00,01:20:00,29.42,2
01:20:00,01:25:00,30.95,2
01:25:00,01:30:00,29.72,2
01:30:00,01:35:00,15.5,2
01:35:00,01:40:00,31.22,3
01:40:00,01:45:00,24.52,1
01:45:00,01:50:00,30.93,6
01:50:00,01:55:00,25.45,2
01:55:00,02:00:00,24.7,3
02:00:00,02:05:00,19.01,1
02:05:00,02:10:00,35.25,1
02:10:00,02:15:00,28.71,2
02:15:00,02:20:00,18.45,5
02:25:00,02:30:00,23.71,5
02:30:00,02:35:00,27.59,4
02:35:00,02:40:00,36.27,4
02:40:00,02:45:00,27.56,2
02:50:00,02:55:00,16.59,2
02:55:00,03:00:00,17.47,2
03:00:00,03:05:00,2.57,2
03:05:00,03:10:00,40.63,4
03:10:00,03:15:00,29.33,4
03:15:00,03:20:00,36.78,1
03:20:00,03:25:00,24.78,2
03:30:00,03:35:00,18.91,4
03:35:00,03:40:00,29.74,5
03:40:00,03:45:00,29.91,5
03:45:00,03:50:00,22.28,2
03:50:00,03:55:00,41.27,1
03:55:00,04:00:00,23.66,2
04:00:00,04:05:00,26.95,6
04:05:00,04:10:00,29.17,1
04:10:00,04:15:00,14.7,4
04:15:00,04:20:00,33.17,3
04:20:00,04:25:00,28.2,1
04:25:00,04:30:00,22.37,4
04:30:00,04:35:00,20.93,3
04:35:00,04:40:00,14.71,1
04:40:00,04:45:00,28.02,5
04:45:00,04:50:00,17.63,1
04:50:00,04:55:00,33.48,3
04:55:00,05:00:00,38.45,1
05:00:00,05:05:00,39.35,1
05:05:00,05:10:00,20.75,3
05:10:00,05:15:00,32.21,7
05:15:00,05:20:00,20.98,5
05:20:00,05:25:00,25.78,9
05:25:00,05:30:00,28.12,6
05:30:00,05:35:00,32.18,6
05:35:00,05:40:00,33.33,3
05:40:00,05:45:00,20.03,6
05:45:00,05:50:00,26.39,6
05:50:00,05:55:00,24.44,8
05:55:00,06:00:00,24.63,8
06:00:00,06:05:00,20.75,10
06:05:00,06:10:00,17.44,18
06:10:00,06:15:00,15.26,8
06:15:00,06:20:00,15.65,15
06:20:00,06:25:00,18.84,17
06:25:00,06:30:00,16.54,18
06:30:00,06:35:00,12.38,18
06:35:00,06:40:00,10.58,17
06:40:00,06:45:00,10.75,17
06:45:00,06:50:00,8.71,18
